"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:53 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.730814","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079690","-","-","1"
"FAPP-time-stat","0","2","all","0","4.703370","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081497","-","-","1"
"FAPP-time-stat","0","3","all","0","4.680162","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.086520","-","-","1"
"FAPP-time-stat","0","1","all","0","4.665107","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081371","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Process","0","0","-","all","0","12","2086008352","35661769300","449948072","96193213","8522856","6877339673","48432347","594447","265991","256432"
"FAPP-cpupa","Thread","0","0","0","all","0","1","473085856","3478296873","37779429","8025590","728864","3315270937","4665264","122435","64277","52943"
"FAPP-cpupa","Thread","0","0","1","all","0","1","151410688","3028178789","37479260","8015378","709613","323819842","3982837","46925","18764","19511"
"FAPP-cpupa","Thread","0","0","2","all","0","1","142424512","2846002616","37463322","8015086","707695","323817900","3975856","40338","17567","17880"
"FAPP-cpupa","Thread","0","0","3","all","0","1","142373632","2847374567","37464867","8015181","708128","323813279","3975874","40448","18122","18363"
"FAPP-cpupa","Thread","0","0","4","all","0","1","142424064","2833263583","37463276","8015100","707739","323818245","3975855","39939","17586","17318"
"FAPP-cpupa","Thread","0","0","5","all","0","1","142374112","2847447534","37465844","8015236","708227","323807081","3976608","40473","18122","18363"
"FAPP-cpupa","Thread","0","0","6","all","0","1","151438080","3023535076","37476283","8015272","709125","323862011","3982059","45907","18145","18454"
"FAPP-cpupa","Thread","0","0","7","all","0","1","151552832","3029869654","37479828","8015414","709672","323845952","3982690","47109","18764","19518"
"FAPP-cpupa","Thread","0","0","8","all","0","1","142639680","2836853532","37465319","8015219","708174","323811244","3976230","40521","18127","17798"
"FAPP-cpupa","Thread","0","0","9","all","0","1","142374208","2843213746","37464606","8015190","708134","323815392","3975904","39909","18121","17795"
"FAPP-cpupa","Thread","0","0","10","all","0","1","161537600","3220936230","37483400","8015450","709777","323842994","3987461","51020","20853","21193"
"FAPP-cpupa","Thread","0","0","11","all","0","1","142373088","2826797100","37462638","8015097","707708","323814796","3975709","39423","17543","17296"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95683776","1912991953","434244354","94282511","8206842","3844986672","36956227","34522","2364","2983"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7975488","159443166","36187176","7856887","683927","320459966","3079702","2893","237","271"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7975328","159444682","36187266","7856899","683944","320412976","3079708","2894","245","279"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7971840","159390635","36186843","7856868","683876","320411685","3079663","2861","143","209"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7975456","159444018","36187238","7856899","683940","320411645","3079707","2893","239","277"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7971232","159378213","36186819","7856864","683874","320411291","3079661","2860","141","209"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7975424","159442945","36187163","7856880","683923","320412038","3079704","2893","239","277"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7972192","159395981","36186840","7856862","683872","320411477","3079663","2861","144","209"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7975168","159442362","36187133","7856879","683921","320411181","3079700","2894","239","279"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7975328","159444064","36187238","7856896","683938","320410847","3079707","2894","243","279"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7975264","159441946","36187126","7856876","683913","320411774","3079698","2893","239","277"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7969280","159336905","36186716","7856847","683850","320411262","3079654","2825","112","208"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7971776","159387036","36186796","7856854","683864","320410530","3079660","2861","143","209"
"FAPP-cpupa","Process","0","2","-","all","0","12","2054405184","37293224877","474172763","118527575","10696776","16093368738","154868","103167","48009368","60642"
"FAPP-cpupa","Thread","0","2","0","all","0","1","470341312","5766844935","39802609","9887835","907484","12531367139","76329","44891","4573337","38765"
"FAPP-cpupa","Thread","0","2","1","all","0","1","158935808","3167720397","39494001","9876588","890053","323838295","9628","9268","3955133","2139"
"FAPP-cpupa","Thread","0","2","2","all","0","1","148086080","2950925725","39490831","9876439","890217","323854967","8257","6786","3948922","2059"
"FAPP-cpupa","Thread","0","2","3","all","0","1","140104992","2792189949","39486812","9876282","890034","323811316","6296","4039","3947593","1936"
"FAPP-cpupa","Thread","0","2","4","all","0","1","140049632","2779360981","39484148","9876147","889313","323811066","6283","4012","3947245","1929"
"FAPP-cpupa","Thread","0","2","5","all","0","1","148057184","2940343166","39490100","9876410","890196","323820881","7965","6459","3948842","2064"
"FAPP-cpupa","Thread","0","2","6","all","0","1","140054528","2784961584","39486576","9876274","890013","323810483","6291","4015","3947468","1935"
"FAPP-cpupa","Thread","0","2","7","all","0","1","140104128","2775770905","39484283","9876158","889333","323813427","6280","4037","3947312","1930"
"FAPP-cpupa","Thread","0","2","8","all","0","1","140103936","2802041814","39488078","9876373","890228","323806971","6317","4077","3948443","1940"
"FAPP-cpupa","Thread","0","2","9","all","0","1","140054560","2784717836","39486556","9876277","890008","323810536","6291","4015","3947475","1935"
"FAPP-cpupa","Thread","0","2","10","all","0","1","140320160","2806367478","39488215","9876385","890236","323803557","6320","4117","3948504","1941"
"FAPP-cpupa","Thread","0","2","11","all","0","1","148192864","2941980107","39490554","9876407","889661","323820100","8611","7451","3949094","2069"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","97856512","1956417361","458746088","116242191","10335346","3844986961","6434","1884","36936803","652"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","8156160","163056897","38228973","9686856","861289","320457562","537","157","3078081","55"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","8151872","162989217","38228510","9686827","861233","320412896","535","157","3078034","53"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","8156160","163057346","38229015","9686856","861299","320411920","537","157","3078086","55"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","8156160","163056831","38229021","9686860","861301","320412004","537","157","3078084","55"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","8152448","163002115","38228581","9686833","861245","320411067","535","157","3078037","53"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","8156160","163056670","38228972","9686854","861287","320412136","537","157","3078079","55"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","8156224","163056972","38229027","9686859","861309","320411554","537","157","3078084","55"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","8152416","163000274","38228669","9686845","861270","320411785","535","157","3078055","53"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","8153920","163022649","38228751","9686853","861277","320411177","535","157","3078056","55"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","8156160","163056102","38228974","9686855","861290","320411858","537","157","3078082","55"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","8156160","163056931","38229012","9686860","861303","320411641","537","157","3078088","55"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","8152672","163005357","38228583","9686833","861243","320411361","535","157","3078037","53"
"FAPP-cpupa","Process","0","3","-","all","0","12","2026620256","38322992558","454199571","105592969","4885147","22441152097","149214","110044","66525","48028033"
"FAPP-cpupa","Thread","0","3","0","all","0","1","468020512","7297084401","38132290","8811549","422479","18879213679","61457","33659","34948","4590158"
"FAPP-cpupa","Thread","0","3","1","all","0","1","145797344","2889874639","37824157","8798275","405860","323817763","8559","7814","2944","3949340"
"FAPP-cpupa","Thread","0","3","2","all","0","1","138249568","2733475652","37823838","8798257","405819","323808240","7482","6238","2858","3947145"
"FAPP-cpupa","Thread","0","3","3","all","0","1","146185472","2908525763","37827343","8798548","406179","323816788","8608","7890","2944","3950327"
"FAPP-cpupa","Thread","0","3","4","all","0","1","138000224","2750154881","37821191","8798103","405044","323814571","7461","6124","2719","3946935"
"FAPP-cpupa","Thread","0","3","5","all","0","1","137999552","2759884118","37824821","8798299","405998","323813064","7507","6256","2858","3947832"
"FAPP-cpupa","Thread","0","3","6","all","0","1","137993376","2759767788","37822724","8798205","405248","323804967","7481","6173","2762","3947861"
"FAPP-cpupa","Thread","0","3","7","all","0","1","138001056","2758817879","37823811","8798243","405834","323809134","7500","6236","2858","3947152"
"FAPP-cpupa","Thread","0","3","8","all","0","1","154365184","3087199519","37827908","8798627","405723","323822367","9642","9474","3091","3957133"
"FAPP-cpupa","Thread","0","3","9","all","0","1","146014688","2883335794","37826556","8798518","406103","323813802","8556","7817","2944","3950113"
"FAPP-cpupa","Thread","0","3","10","all","0","1","138000064","2739304056","37821224","8798116","405041","323810515","7461","6128","2741","3946922"
"FAPP-cpupa","Thread","0","3","11","all","0","1","137993216","2755568068","37823708","8798229","405819","323807207","7500","6235","2858","3947115"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","103883040","2076931085","439124918","103473959","4668487","3844988438","7296","4462","1978","36935130"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","8658464","173100315","36593821","8622839","389038","320457686","609","375","177","3077936"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","8658528","173101420","36593953","8622855","389073","320413065","609","373","173","3077938"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","8658336","173099985","36593879","8622842","389056","320412001","609","373","174","3077934"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","8658400","173101096","36593915","8622847","389060","320411865","609","375","177","3077940"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","8652128","172994893","36593405","8622795","389007","320411209","606","368","144","3077911"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","8658528","173101325","36593959","8622857","389073","320412889","609","373","174","3077944"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","8654496","173042038","36593403","8622791","388998","320411827","606","368","144","3077902"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","8658208","173100598","36593917","8622850","389067","320411422","609","373","172","3077936"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","8654528","173043623","36593381","8622790","388984","320411320","606","368","144","3077899"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","8658368","173100808","36593864","8622843","389050","320412518","609","375","183","3077939"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","8654560","173044242","36593507","8622805","389019","320411446","606","368","144","3077914"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","8658496","173100742","36593914","8622845","389062","320411190","609","373","172","3077937"
"FAPP-cpupa","Process","0","1","-","all","0","12","2060894432","36051595900","475131745","118624245","10742355","11133356218","399406","48321273","97211","106183"
"FAPP-cpupa","Thread","0","1","0","all","0","1","466515040","4435894753","39937188","9895537","918269","7571380340","127533","4611295","43445","30726"
"FAPP-cpupa","Thread","0","1","1","all","0","1","142195136","2814588596","39558767","9884410","892842","323814394","22862","3972435","4108","6455"
"FAPP-cpupa","Thread","0","1","2","all","0","1","141922976","2804428774","39555823","9884277","892201","323817733","22455","3972087","4029","6192"
"FAPP-cpupa","Thread","0","1","3","all","0","1","141973120","2815526787","39556301","9884269","892243","323817315","22781","3972188","4070","6158"
"FAPP-cpupa","Thread","0","1","4","all","0","1","141916864","2819910041","39557792","9884372","892758","323811852","22502","3972226","4104","6452"
"FAPP-cpupa","Thread","0","1","5","all","0","1","141972704","2799252189","39558505","9884407","892808","323809624","22801","3972350","3859","6454"
"FAPP-cpupa","Thread","0","1","6","all","0","1","147967680","2919876014","39566724","9884409","893231","323822195","26997","3974234","5670","7410"
"FAPP-cpupa","Thread","0","1","7","all","0","1","147938656","2935688296","39568148","9884504","893753","323819233","26788","3974267","5628","7700"
"FAPP-cpupa","Thread","0","1","8","all","0","1","141921952","2838403975","39558669","9884425","892832","323805147","22674","3972958","4104","6458"
"FAPP-cpupa","Thread","0","1","9","all","0","1","141921824","2838401683","39558664","9884425","892830","323806313","22674","3972958","4104","6458"
"FAPP-cpupa","Thread","0","1","10","all","0","1","156572800","3102868192","39583709","9884616","894605","323832423","31839","3979630","7382","8006"
"FAPP-cpupa","Thread","0","1","11","all","0","1","148075680","2926756600","39571455","9884594","893983","323819649","27500","3974645","6708","7714"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","97703520","1953379388","458902971","116331676","10322914","3844987454","34877","36950433","1146","3248"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","8143296","162800640","38242025","9694312","860258","320457650","2909","3079209","97","295"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","8143200","162800958","38242064","9694320","860270","320412537","2909","3079213","95","276"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","8139232","162737554","38241549","9694281","860180","320412176","2901","3079179","92","215"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","8139680","162746234","38241686","9694292","860216","320412027","2901","3079189","92","221"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","8143072","162800671","38242062","9694317","860268","320411199","2909","3079211","97","295"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","8143200","162800751","38242049","9694316","860262","320412241","2909","3079212","98","303"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","8139424","162741327","38241636","9694285","860201","320411826","2901","3079185","92","215"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","8143232","162800151","38242017","9694312","860255","320411500","2909","3079209","98","303"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","8143008","162801992","38242113","9694323","860276","320410848","2909","3079216","98","305"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","8143168","162800907","38242043","9694314","860256","320412059","2909","3079211","98","304"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","8139808","162747459","38241687","9694291","860211","320411976","2902","3079188","92","221"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","8143200","162800744","38242040","9694313","860261","320411415","2909","3079211","97","295"
