"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:49:00 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.751162","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081453","-","-","1"
"FAPP-time-stat","0","0","all","0","4.730896","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079723","-","-","1"
"FAPP-time-stat","0","2","all","0","4.711623","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081416","-","-","1"
"FAPP-time-stat","0","3","all","0","4.678611","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081559","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0316","0x0314","0x0315","0x031e","0x031c","0x031d","0x0391","0x03ae"
"FAPP-cpupa","Process","0","1","-","all","0","12","2030678240","36581801918","345127596","4922","0","48368933","21572","0","344970467","52947"
"FAPP-cpupa","Thread","0","1","0","all","0","1","475120544","5541774799","28858856","819","0","4610946","2256","0","28827707","8912"
"FAPP-cpupa","Thread","0","1","1","all","0","1","137597312","2736698404","28750132","373","0","3976306","1756","0","28739254","3639"
"FAPP-cpupa","Thread","0","1","2","all","0","1","137597888","2751820525","28749475","373","0","3976930","1756","0","28738895","3687"
"FAPP-cpupa","Thread","0","1","3","all","0","1","145536960","2907119469","28752842","373","0","3978969","1756","0","28740627","4518"
"FAPP-cpupa","Thread","0","1","4","all","0","1","145467616","2892986809","28752327","373","0","3978690","1756","0","28740330","4472"
"FAPP-cpupa","Thread","0","1","5","all","0","1","137547872","2748374102","28748866","373","0","3976191","1756","0","28738215","3685"
"FAPP-cpupa","Thread","0","1","6","all","0","1","145845632","2912490093","28752543","373","0","3979348","1756","0","28740674","4528"
"FAPP-cpupa","Thread","0","1","7","all","0","1","137547712","2750854698","28749349","373","0","3976861","1756","0","28738731","3687"
"FAPP-cpupa","Thread","0","1","8","all","0","1","137814016","2746473431","28750241","373","0","3976328","1756","0","28739377","3639"
"FAPP-cpupa","Thread","0","1","9","all","0","1","137548192","2744902635","28750201","373","0","3976271","1756","0","28739154","3642"
"FAPP-cpupa","Thread","0","1","10","all","0","1","137547168","2739439792","28750056","373","0","3976256","1756","0","28739194","3639"
"FAPP-cpupa","Thread","0","1","11","all","0","1","155507328","3108867161","28762708","373","0","3985837","1756","0","28748309","4899"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","97800928","1955303444","332343564","3768","0","37011794","20700","0","332307594","7224"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","8151680","162963706","27695440","314","0","3084326","1725","0","27692316","602"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","8151168","162964892","27695503","314","0","3084329","1725","0","27692380","602"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","8145376","162862408","27694911","314","0","3084278","1725","0","27692141","602"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","8151520","162964595","27695516","314","0","3084337","1725","0","27692394","602"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","8151520","162963853","27695449","314","0","3084326","1725","0","27692346","602"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","8147808","162909955","27694948","314","0","3084289","1725","0","27692176","602"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","8147712","162906004","27694921","314","0","3084287","1725","0","27692175","602"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","8147904","162911980","27694977","314","0","3084289","1725","0","27692215","602"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","8151584","162963561","27695433","314","0","3084325","1725","0","27692337","602"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","8151680","162964109","27695492","314","0","3084340","1725","0","27692369","602"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","8151392","162964405","27695496","314","0","3084331","1725","0","27692379","602"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","8151584","162963976","27695478","314","0","3084337","1725","0","27692366","602"
"FAPP-cpupa","Process","0","0","-","all","0","12","2054324864","37648498184","345259452","83","0","48394784","203","0","344619885","74498"
"FAPP-cpupa","Thread","0","0","0","all","0","1","473094144","6286849964","28952558","28","0","4624705","71","0","28874078","10835"
"FAPP-cpupa","Thread","0","0","1","all","0","1","139863648","2755932083","28752221","5","0","3976116","12","0","28702498","5530"
"FAPP-cpupa","Thread","0","0","2","all","0","1","147867136","2941221070","28756935","5","0","3982019","12","0","28705160","6007"
