"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:16 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.715417","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081486","-","-","1"
"FAPP-time-stat","0","1","all","0","4.699292","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081492","-","-","1"
"FAPP-time-stat","0","2","all","0","4.675318","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081550","-","-","1"
"FAPP-time-stat","0","0","all","0","4.653933","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.081448","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0190","0x0191","0x0184","0x0186","0x0189","0x018c","0x018d","0x018e"
"FAPP-cpupa","Process","0","3","-","all","0","12","2059328512","35198775418","32693569059","415957879","1291384781","289","968379406","30321162800","0","30209433312"
"FAPP-cpupa","Thread","0","3","0","all","0","1","471546144","3554425330","2098018498","305959963","874669746","33","649272279","463035553","0","358128289"
"FAPP-cpupa","Thread","0","3","1","all","0","1","140555840","2801320013","2705956822","10005977","37283097","24","28937088","2639593572","0","2638983415"
"FAPP-cpupa","Thread","0","3","2","all","0","1","140505984","2809962715","2714573940","10028015","37318436","21","28974944","2648129124","0","2647485646"
"FAPP-cpupa","Thread","0","3","3","all","0","1","158094176","3159425053","3064046104","10026995","37387135","0","28969774","2997537209","0","2996909818"
"FAPP-cpupa","Thread","0","3","4","all","0","1","140551040","2806775588","2711436375","9998227","37855562","0","29005346","2644433158","0","2643805827"
"FAPP-cpupa","Thread","0","3","5","all","0","1","148666912","2941869283","2846462285","10039502","37533738","2","29032334","2779745254","0","2779099192"
"FAPP-cpupa","Thread","0","3","6","all","0","1","148520832","2970377318","2875043047","9993892","37863922","39","29023340","2808009684","0","2807402113"
"FAPP-cpupa","Thread","0","3","7","all","0","1","140777600","2789459152","2694120407","9996114","38220494","0","29066304","2626690901","0","2626078886"
"FAPP-cpupa","Thread","0","3","8","all","0","1","140550304","2795808659","2700511008","9966923","38397835","0","29005880","2632965662","0","2632365357"
"FAPP-cpupa","Thread","0","3","9","all","0","1","140505504","2810001312","2714671934","9988283","38113489","117","29024601","2647391560","0","2646774662"
"FAPP-cpupa","Thread","0","3","10","all","0","1","148548320","2950385864","2855058366","9983463","38161651","53","29037557","2787712596","0","2787094574"
"FAPP-cpupa","Thread","0","3","11","all","0","1","140505856","2808965131","2713670273","9970525","38579676","0","29029959","2645918527","0","2645305533"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","97842080","1956106598","825259194","117277674","436243243","87","344565091","43839899","0","42100875"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","8155232","163032164","68712381","9890642","38839295","6","29394976","410244","0","185722"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","8148800","162930083","68681079","9770674","35566802","24","28580545","4485040","0","4348700"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","8155072","163032137","68773606","9783111","35481436","1","28612654","4629484","0","4494223"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","8151200","162975469","68726044","9777954","35532692","0","28606587","4539819","0","4413636"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","8155232","163033417","68803230","9766008","36144049","0","28649340","3959988","0","3816015"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","8155136","163031778","68742097","9799734","35773913","0","28673986","4240818","0","4090267"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","8154944","163033372","68813141","9755888","36105317","39","28665894","3992157","0","3862270"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","8150400","162959191","68732823","9761922","36500270","0","28708560","3475504","0","3327659"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","8151328","162979664","68791029","9735352","36650882","0","28652414","3439791","0","3306164"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","8154752","163033656","68813668","9755415","36401977","0","28668914","3693019","0","3549443"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","8154880","163032483","68822430","9743642","36382233","17","28677725","3713396","0","3579577"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","8155104","163033184","68847666","9737332","36864377","0","28673496","3260639","0","3127199"
"FAPP-cpupa","Process","0","1","-","all","0","12","2031393888","37410259057","32229624773","422729572","1283475308","131","966600023","29857914494","0","29743861026"
"FAPP-cpupa","Thread","0","1","0","all","0","1","469933536","6249893183","2118073479","312723473","870696408","3","647582922","479734260","0","369920225"
"FAPP-cpupa","Thread","0","1","1","all","0","1","138191456","2763790126","2668435876","10001274","36718544","0","28923293","2602655585","0","2602278194"
"FAPP-cpupa","Thread","0","1","2","all","0","1","146309152","2909750762","2814329566","10051789","36947121","0","28993899","2748233540","0","2747808969"
"FAPP-cpupa","Thread","0","1","3","all","0","1","146191008","2921397466","2825974001","10059022","36873779","9","29012490","2759939333","0","2759533400"
"FAPP-cpupa","Thread","0","1","4","all","0","1","138139680","2757427762","2662108772","9981363","37546509","0","28967861","2595454559","0","2595071141"
"FAPP-cpupa","Thread","0","1","5","all","0","1","138140000","2762642969","2667293964","9996385","37147509","2","28961794","2601045527","0","2600681580"
"FAPP-cpupa","Thread","0","1","6","all","0","1","138140096","2747653675","2652308646","10002631","37541366","100","29033653","2585593056","0","2585222514"
"FAPP-cpupa","Thread","0","1","7","all","0","1","138137696","2752987355","2657673951","9976114","37810748","0","29020419","2590705498","0","2590338224"
"FAPP-cpupa","Thread","0","1","8","all","0","1","146159744","2920005106","2824714717","9960361","38140655","0","28982338","2757448772","0","2757074261"
"FAPP-cpupa","Thread","0","1","9","all","0","1","155499968","3099124911","3003762077","10013987","37968723","0","29047919","2936593784","0","2936182129"
"FAPP-cpupa","Thread","0","1","10","all","0","1","138411136","2763957907","2668654675","9961568","37786429","2","29002093","2601727896","0","2601358064"
"FAPP-cpupa","Thread","0","1","11","all","0","1","138140416","2761627835","2666295049","10001605","38297517","15","29071342","2598782684","0","2598392325"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","97846336","1956220849","825298648","117339531","434586501","31","344628313","45471776","0","43733247"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","8155584","163041440","68711864","9899193","38866470","3","29421255","355590","0","127239"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","8155552","163041323","68787156","9775467","35233640","0","28582482","4921595","0","4783545"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","8151904","162991161","68706183","9803205","35293894","0","28639736","4721126","0","4578813"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","8155264","163041796","68731501","9823047","35301269","9","28664927","4712331","0","4558940"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","8155392","163042277","68827818","9752690","36024173","0","28624116","4129795","0","3987394"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","8152128","162996557","68755812","9766089","35623573","2","28616696","4468200","0","4342778"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","8155392","163040256","68797820","9775462","36033726","0","28689572","4023733","0","3890925"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","8151488","162982866","68775623","9746952","36294891","0","28674739","3760487","0","3627838"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","8151136","162974060","68798795","9723765","36571277","0","28634038","3547126","0","3425379"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","8151712","162985064","68747299","9769118","36331015","0","28695629","3671118","0","3525483"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","8155552","163041629","68844209","9732233","36248386","2","28657997","3890404","0","3764713"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","8155232","163042420","68814568","9772310","36764187","15","28727126","3270271","0","3120200"
"FAPP-cpupa","Process","0","2","-","all","0","12","2019293216","36218701536","31766786631","419209595","1274604930","161","968019098","29405747667","0","29293270742"
"FAPP-cpupa","Thread","0","2","0","all","0","1","467535968","5451612704","2048453700","309248608","860111666","0","648963420","422523691","0","314278969"
"FAPP-cpupa","Thread","0","2","1","all","0","1","138439328","2748719706","2653376653","9992706","36992122","0","28913571","2587332924","0","2586964550"
"FAPP-cpupa","Thread","0","2","2","all","0","1","146481632","2929418506","2834044188","10015569","37203606","0","28946496","2767743413","0","2767334025"
"FAPP-cpupa","Thread","0","2","3","all","0","1","138212416","2745275764","2649893997","10025166","36994241","0","28982858","2583776619","0","2583389430"
"FAPP-cpupa","Thread","0","2","4","all","0","1","138218784","2733361855","2638023995","9997589","37712350","87","29002172","2571168309","0","2570789735"
"FAPP-cpupa","Thread","0","2","5","all","0","1","138218752","2738865952","2643485750","10017989","37267708","0","29020377","2577055689","0","2576667900"
"FAPP-cpupa","Thread","0","2","6","all","0","1","138166464","2733467594","2638103756","10016488","37613908","20","29056006","2571290726","0","2570904227"
"FAPP-cpupa","Thread","0","2","7","all","0","1","146183744","2888370537","2793066448","9971035","38106560","0","29006629","2725811503","0","2725417936"
"FAPP-cpupa","Thread","0","2","8","all","0","1","138219232","2723634211","2628351341","9956358","38305301","35","28978220","2560932158","0","2560572505"
"FAPP-cpupa","Thread","0","2","9","all","0","1","138166624","2738915666","2643590061","9982811","37850806","0","29022964","2576578108","0","2576204265"
"FAPP-cpupa","Thread","0","2","10","all","0","1","138166368","2763288791","2667949096","9991421","38076859","19","29076140","2600655823","0","2600270616"
"FAPP-cpupa","Thread","0","2","11","all","0","1","153283904","3023770250","2928447646","9993855","38369803","0","29050245","2860878704","0","2860476584"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","97928288","1957784495","826888088","117316720","436468880","105","344697101","45107218","0","43364340"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","8161664","163161660","68833861","9895045","38983532","0","29433227","348683","0","119816"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","8161632","163161220","68922782","9764506","35453419","0","28572214","4849014","0","4721308"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","8157696","163105007","68865555","9767794","35548485","0","28592976","4676440","0","4553017"
