"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:30 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.760227","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079724","-","-","1"
"FAPP-time-stat","0","2","all","0","4.738185","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081553","-","-","1"
"FAPP-time-stat","0","1","all","0","4.713064","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081308","-","-","1"
"FAPP-time-stat","0","3","all","0","4.685950","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.086318","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2110884000","37676124277","8026275","31635464","21034970","37627647","12386188","373","250","722625"
"FAPP-cpupa","Thread","0","0","0","all","0","1","476027008","5272996381","758743","5475051","2516051","4149069","1302754","373","250","88579"
"FAPP-cpupa","Thread","0","0","1","all","0","1","153487392","3069712865","661552","2379251","1683373","3051517","1012981","0","0","63248"
"FAPP-cpupa","Thread","0","0","2","all","0","1","163467456","3239983404","663371","2378283","1682921","3047659","1009625","0","0","59565"
"FAPP-cpupa","Thread","0","0","3","all","0","1","153789664","3037030573","665294","2378689","1684992","3045700","1014300","0","0","56199"
"FAPP-cpupa","Thread","0","0","4","all","0","1","145488704","2880875922","664817","2378620","1683964","3046443","1006572","0","0","55892"
"FAPP-cpupa","Thread","0","0","5","all","0","1","145501120","2909988043","661893","2378829","1683547","3046748","1010602","0","0","59174"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145500960","2874970189","660704","2379671","1684806","3040631","1002386","0","0","55333"
"FAPP-cpupa","Thread","0","0","7","all","0","1","145500224","2875606802","658407","2377034","1683527","3040408","1006822","0","0","58000"
"FAPP-cpupa","Thread","0","0","8","all","0","1","145499872","2886077331","658534","2377187","1682829","3040061","1004529","0","0","56156"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145721440","2874180052","656075","2377920","1683262","3039416","1004851","0","0","57714"
"FAPP-cpupa","Thread","0","0","10","all","0","1","145449632","2885537066","656170","2377759","1683310","3038489","1003602","0","0","57989"
"FAPP-cpupa","Thread","0","0","11","all","0","1","145450528","2869165649","660715","2377170","1682388","3041506","1007164","0","0","54776"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95729248","1913887096","7860164","28269888","20015578","36183633","11988143","0","0","683952"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7978880","159512002","664496","2381830","1680385","3045010","1022265","0","0","58888"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7978848","159513101","655119","2354668","1666689","3020616","1001566","0","0","62342"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7978816","159512604","656797","2353543","1666224","3016654","999137","0","0","58698"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7975392","159460372","658755","2353944","1668234","3014904","1004045","0","0","55436"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7978784","159513751","658339","2353915","1667312","3015555","996155","0","0","54970"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7978848","159514104","655270","2354238","1666856","3015664","1000099","0","0","58437"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7975072","159452600","654156","2354338","1668040","3009657","991965","0","0","54581"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7973120","159413839","651805","2352221","1666870","3009381","994079","0","0","57219"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7978624","159513059","652040","2352462","1666120","3009291","994247","0","0","55365"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7978912","159513487","649571","2353236","1666588","3008589","994470","0","0","56894"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7978752","159512923","649652","2353035","1666573","3007636","993221","0","0","57101"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7975200","159455254","654164","2352458","1665687","3010676","996894","0","0","54021"
"FAPP-cpupa","Process","0","2","-","all","0","12","2103425888","36334738401","9887175","31759988","21568993","39744408","14041403","373","250","909703"
"FAPP-cpupa","Thread","0","2","0","all","0","1","473822688","3814994494","901592","5592445","2549131","4354909","1490268","373","250","116387"
"FAPP-cpupa","Thread","0","2","1","all","0","1","145466080","2899980391","818533","2379352","1728872","3224591","1151551","0","0","75838"
