"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:37 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.626727","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079691","-","-","1"
"FAPP-time-stat","0","2","all","0","4.608866","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.079742","-","-","1"
"FAPP-time-stat","0","3","all","0","4.580769","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081433","-","-","1"
"FAPP-time-stat","0","1","all","0","4.559082","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.079709","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Process","0","0","-","all","0","12","2080455680","36920510091","854177546","595739502","1763","4273577764","395126783","1198865105","85059178","67689"
"FAPP-cpupa","Thread","0","0","0","all","0","1","462677056","4676326740","182955566","49660782","1763","3278270248","337830338","204097001","28158114","65061"
"FAPP-cpupa","Thread","0","0","1","all","0","1","143236992","2862246817","61020180","49643520","0","90481974","5208293","90433464","5172824","236"
"FAPP-cpupa","Thread","0","0","2","all","0","1","143236736","2833239350","61020180","49643520","0","90481340","5208007","90433464","5172824","240"
"FAPP-cpupa","Thread","0","0","3","all","0","1","151160448","3021959455","61020180","49643520","0","90483505","5209572","90433464","5172824","239"
"FAPP-cpupa","Thread","0","0","4","all","0","1","151531424","3020910482","61020180","49643520","0","90482415","5208935","90433464","5172824","238"
"FAPP-cpupa","Thread","0","0","5","all","0","1","151224416","3024392083","61020180","49643520","0","90483389","5209315","90433464","5172824","238"
"FAPP-cpupa","Thread","0","0","6","all","0","1","143236864","2864702477","61020180","49643520","0","90479806","5207194","90433464","5172824","237"
"FAPP-cpupa","Thread","0","0","7","all","0","1","160879680","3217441772","61020180","49643520","0","90489054","5212798","90433464","5172824","243"
"FAPP-cpupa","Thread","0","0","8","all","0","1","143509152","2849577214","61020180","49643520","0","90481366","5208025","90433464","5172824","240"
"FAPP-cpupa","Thread","0","0","9","all","0","1","143287328","2839636310","61020180","49643520","0","90482037","5208317","90433464","5172824","238"
"FAPP-cpupa","Thread","0","0","10","all","0","1","143237152","2849582234","61020180","49643520","0","90481517","5208147","90433464","5172824","241"
"FAPP-cpupa","Thread","0","0","11","all","0","1","143238432","2860495157","61020180","49643520","0","90481113","5207842","90433464","5172824","238"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95693728","1913156464","724992000","589824000","0","1074709152","61631026","1074461311","61458315","2484"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7975392","159442348","60416000","49152000","0","89571034","5151362","89543773","5121540","207"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7972064","159394052","60416000","49152000","0","89558033","5134526","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7975264","159443861","60416000","49152000","0","89558010","5134513","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7971680","159387144","60416000","49152000","0","89558017","5134518","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7975392","159442615","60416000","49152000","0","89557985","5134502","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7975392","159442832","60416000","49152000","0","89558056","5134540","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7975392","159442432","60416000","49152000","0","89558021","5134524","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7975392","159442771","60416000","49152000","0","89558021","5134520","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7975392","159442011","60416000","49152000","0","89557973","5134496","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7971840","159390661","60416000","49152000","0","89558032","5134524","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7975104","159442797","60416000","49152000","0","89557992","5134504","89537958","5121525","207"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7975424","159442940","60416000","49152000","0","89557978","5134497","89537958","5121525","207"
"FAPP-cpupa","Process","0","2","-","all","0","12","2028418496","35812866701","854177539","595739502","1763","4614829549","386019677","1198866174","85059637","67139"
"FAPP-cpupa","Thread","0","2","0","all","0","1","460891104","4709253221","182955559","49660782","1763","3619537043","328733187","204098070","28158573","64513"
