"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:44 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.612824","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079710","-","-","1"
"FAPP-time-stat","0","2","all","0","4.588258","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081410","-","-","1"
"FAPP-time-stat","0","3","all","0","4.558856","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.086617","-","-","1"
"FAPP-time-stat","0","1","all","0","4.544111","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081486","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0185","0x0182","0x0183","0x0180","0x0181","0x0187","0x0188","0x018a"
"FAPP-cpupa","Process","0","0","-","all","0","12","2028796928","38504878200","538343739","140472545","56180025","322476664","20189740","0","0","877266448"
"FAPP-cpupa","Thread","0","0","0","all","0","1","461287008","7202200714","523595594","62825134","54314264","48581791","18289256","0","0","564188080"
"FAPP-cpupa","Thread","0","0","1","all","0","1","145565632","2907086885","1357660","6184594","166180","25097719","185874","0","0","28385676"
"FAPP-cpupa","Thread","0","0","2","all","0","1","157738432","3144705026","1432451","6428756","162948","24792137","181482","0","0","28393148"
"FAPP-cpupa","Thread","0","0","3","all","0","1","145738112","2903858022","1353439","6631274","166233","24926228","178864","0","0","28420823"
"FAPP-cpupa","Thread","0","0","4","all","0","1","137767296","2755311145","1292171","6949942","159620","25130730","166572","0","0","28460522"
"FAPP-cpupa","Thread","0","0","5","all","0","1","146040000","2918319061","1350207","6737261","169817","24778492","164632","0","0","28413802"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145596832","2911838649","1347300","7243742","166085","24818358","168265","0","0","28464113"
"FAPP-cpupa","Thread","0","0","7","all","0","1","138025888","2757178143","1414477","7378748","189931","24765205","189613","0","0","28500876"
"FAPP-cpupa","Thread","0","0","8","all","0","1","137761472","2754090244","1310020","7396352","169289","24678067","169744","0","0","28525164"
"FAPP-cpupa","Thread","0","0","9","all","0","1","137760736","2745545229","1297127","7435388","175200","25217522","165802","0","0","28498987"
"FAPP-cpupa","Thread","0","0","10","all","0","1","137760736","2749751110","1305897","7390627","172638","25145813","170720","0","0","28499105"
"FAPP-cpupa","Thread","0","0","11","all","0","1","137754784","2754993972","1287396","7870727","167820","24544602","158916","0","0","28516152"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95714784","1913569928","4321694","82388999","1328194","295741302","1507763","0","0","337958230"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7977472","159481493","444191","6186788","99390","25369350","184049","0","0","27991644"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7977024","159480887","360324","6068759","113412","24779979","132216","0","0","28102705"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7973728","159427227","363662","6307669","107753","24476356","132773","0","0","28110877"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7977344","159480854","355966","6510955","113794","24600218","122562","0","0","28138614"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7977312","159481326","354654","6830272","110514","24814320","116214","0","0","28177606"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7971360","159380357","345544","6608729","109306","24459318","117493","0","0","28131478"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7977216","159481088","351744","7114669","111837","24503667","118273","0","0","28181748"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7977312","159481470","348624","7207487","111703","24397689","117716","0","0","28218237"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7977376","159482159","356919","7259572","108227","24380913","119724","0","0","28242078"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7977408","159481482","342383","7302679","118619","24901935","110677","0","0","28215275"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7977312","159480721","347811","7254310","111602","24813907","117526","0","0","28215049"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7973920","159430864","349872","7737110","112037","24243650","118540","0","0","28232919"
"FAPP-cpupa","Process","0","2","-","all","0","12","2004908384","34898456113","528035276","135849928","50872510","350097925","25141660","0","0","879715255"
"FAPP-cpupa","Thread","0","2","0","all","0","1","458830080","4262325128","513431712","57495926","49021211","56634314","23155484","0","0","567002408"
"FAPP-cpupa","Thread","0","2","1","all","0","1","137462176","2711020124","1289877","6228322","159422","27141041","178317","0","0","28387842"
