"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:51 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.626879","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079672","-","-","1"
"FAPP-time-stat","0","1","all","0","4.584065","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081455","-","-","1"
"FAPP-time-stat","0","3","all","0","4.569534","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081488","-","-","1"
"FAPP-time-stat","0","2","all","0","4.550486","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081434","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0192","0x0193","0x0194","0x018b","0x80c6","0x80c4","0x80c7","0x80c5"
"FAPP-cpupa","Process","0","0","-","all","0","12","2059871904","36663291323","500843330","261007378","2590517300","41809813","2655984044","0","120935077","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","462692416","4852498700","388747439","180251952","1844484859","40957713","221383084","0","120934857","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","142349504","2845847755","10229005","7306788","67836626","77793","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","148105184","2952432431","10242952","7332910","67802845","81088","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","142076736","2839149278","10203905","7331459","67826363","76505","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","148077120","2961507526","10202664","7335066","67819362","79064","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","142126304","2821965186","10230409","7368631","67774835","78507","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","157829312","3156438412","10173410","7346785","67829655","85710","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","142077088","2841383774","10168373","7353377","67822267","75275","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","142078720","2815572281","10172660","7360385","67810081","74549","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","142120928","2810906571","10170713","7325212","67839350","73349","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","142121280","2838197837","10140570","7335876","67850428","73175","221327360","0","20","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","148217312","2927391572","10161230","7358937","67820629","77085","221327360","0","20","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95670464","1912682410","120557979","87084348","806032238","264308","2629632000","0","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7973504","159403490","9857977","7158168","67408401","21072","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7973408","159403532","10101685","7231363","67164027","23597","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7973280","159404667","10115816","7257911","67129347","24899","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7973504","159405146","10077922","7256221","67153122","22690","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7973504","159404620","10076621","7259951","67146731","23620","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7973344","159403981","10103677","7293283","67101934","24532","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7973504","159404098","10040929","7269844","67154593","22364","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7969824","159348861","10041742","7278061","67148590","21130","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7973440","159403804","10046922","7284985","67137026","20962","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7970016","159350831","10044644","7250211","67165156","19116","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7973472","159405236","10015716","7260898","67176181","19343","219136000","0","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7969664","159344144","10034328","7283452","67147130","20983","219136000","0","0","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2000594112","36651499912","490595355","256895555","3648383649","42718739","2655984044","0","120935076","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","458411008","5850390826","378798218","177231384","2901036979","41867347","221383084","0","120934856","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","143497312","2859182101","10169899","7241721","67938679","78014","221327360","0","20","0"
