"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:58 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.678543","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079711","-","-","1"
"FAPP-time-stat","0","2","all","0","4.649247","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081391","-","-","1"
"FAPP-time-stat","0","3","all","0","4.629682","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081492","-","-","1"
"FAPP-time-stat","0","1","all","0","4.608417","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081419","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x01a6","0x01e0","0x03e0","0x03e8","0x01a0","0x01a1","0x01a2","0x01a3"
"FAPP-cpupa","Process","0","0","-","all","0","12","2062788768","37998810107","36971","4300691481","778644084","158472892","4290234147","4536269647","3065990241","3093616873"
"FAPP-cpupa","Thread","0","0","0","all","0","1","467858752","6135541799","35828","780985568","123141023","23767334","3578230999","3816407259","2575858986","2441094676"
"FAPP-cpupa","Thread","0","0","1","all","0","1","141158848","2818948249","104","311486889","58067049","11970351","64856456","65447247","44548130","59196824"
"FAPP-cpupa","Thread","0","0","2","all","0","1","149144032","2981618655","104","329274803","61258949","12547311","64838386","65463207","44616072","59216866"
"FAPP-cpupa","Thread","0","0","3","all","0","1","141165408","2813594039","103","310904726","57962125","11951218","64810183","65456527","44506816","59279954"
"FAPP-cpupa","Thread","0","0","4","all","0","1","141164320","2820914314","104","311686009","58105656","11977311","64733186","65452528","44540916","59277396"
"FAPP-cpupa","Thread","0","0","5","all","0","1","141159552","2823154754","104","311934790","58149600","11985351","64759363","65442720","44562205","59290660"
"FAPP-cpupa","Thread","0","0","6","all","0","1","141116768","2822237202","104","311826401","58130851","11982017","64691839","65421676","44565486","59364933"
"FAPP-cpupa","Thread","0","0","7","all","0","1","149115360","2981118095","104","329214227","61246717","12545416","64660407","65454827","44555207","59351825"
"FAPP-cpupa","Thread","0","0","8","all","0","1","141115904","2818104383","104","311378812","58049986","11967356","64654091","65446966","44536299","59352437"
"FAPP-cpupa","Thread","0","0","9","all","0","1","141381920","2817906123","104","311353287","58046865","11966505","64660402","65406186","44574057","59415175"
"FAPP-cpupa","Thread","0","0","10","all","0","1","149250880","2984919233","104","329619466","61326736","12559112","64682233","65412753","44604157","59395357"
"FAPP-cpupa","Thread","0","0","11","all","0","1","159157024","3180753261","104","351026503","65158527","13253610","64656602","65457751","44521910","59380770"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95715776","1913591708","1212","246681144","70641090","29242157","768577190","777186861","528322406","704087053"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7977600","159484085","101","20589284","5887159","2436915","64195366","64895716","43795900","58499420"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7977472","159484984","101","20569457","5887182","2436921","64163868","64761032","44042042","58569448"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7977472","159483804","101","20563325","5887153","2436913","64131725","64760466","44087962","58574302"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7973920","159430975","101","20567201","5885970","2436711","64117655","64767541","43998737","58649569"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7977504","159483442","101","20553660","5887168","2436917","64042318","64766419","44034932","58649284"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7977632","159485197","101","20557769","5887188","2436923","64070243","64759638","44058753","58665266"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7977408","159483412","101","20549560","5887143","2436910","64001443","64735305","44059207","58735923"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7974368","159438126","101","20554312","5886127","2436741","63967904","64765989","44045452","58720085"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7977472","159483637","101","20553835","5887149","2436911","63963807","64759942","44028287","58724681"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7974112","159434520","101","20544789","5886044","2436724","63969932","64719145","44066489","58785904"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7973248","159414710","101","20541449","5885629","2436651","63990727","64726998","44095851","58765424"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7977568","159484816","101","20536503","5887178","2436920","63962202","64768670","44008794","58747747"
"FAPP-cpupa","Process","0","2","-","all","0","12","2074839776","36539569662","36045","4102138062","749823565","153239036","2695907078","2946515879","2319053852","2254471802"
