"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:05 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","k28-5009c","0","12"
"FAPP-core","0","0","1","k28-5009c","0","13"
"FAPP-core","0","0","2","k28-5009c","0","14"
"FAPP-core","0","0","3","k28-5009c","0","15"
"FAPP-core","0","0","4","k28-5009c","0","16"
"FAPP-core","0","0","5","k28-5009c","0","17"
"FAPP-core","0","0","6","k28-5009c","0","18"
"FAPP-core","0","0","7","k28-5009c","0","19"
"FAPP-core","0","0","8","k28-5009c","0","20"
"FAPP-core","0","0","9","k28-5009c","0","21"
"FAPP-core","0","0","10","k28-5009c","0","22"
"FAPP-core","0","0","11","k28-5009c","0","23"
"FAPP-core","0","3","0","k28-5009c","3","48"
"FAPP-core","0","3","1","k28-5009c","3","49"
"FAPP-core","0","3","2","k28-5009c","3","50"
"FAPP-core","0","3","3","k28-5009c","3","51"
"FAPP-core","0","3","4","k28-5009c","3","52"
"FAPP-core","0","3","5","k28-5009c","3","53"
"FAPP-core","0","3","6","k28-5009c","3","54"
"FAPP-core","0","3","7","k28-5009c","3","55"
"FAPP-core","0","3","8","k28-5009c","3","56"
"FAPP-core","0","3","9","k28-5009c","3","57"
"FAPP-core","0","3","10","k28-5009c","3","58"
"FAPP-core","0","3","11","k28-5009c","3","59"
"FAPP-core","0","2","0","k28-5009c","2","36"
"FAPP-core","0","2","1","k28-5009c","2","37"
"FAPP-core","0","2","2","k28-5009c","2","38"
"FAPP-core","0","2","3","k28-5009c","2","39"
"FAPP-core","0","2","4","k28-5009c","2","40"
"FAPP-core","0","2","5","k28-5009c","2","41"
"FAPP-core","0","2","6","k28-5009c","2","42"
"FAPP-core","0","2","7","k28-5009c","2","43"
"FAPP-core","0","2","8","k28-5009c","2","44"
"FAPP-core","0","2","9","k28-5009c","2","45"
"FAPP-core","0","2","10","k28-5009c","2","46"
"FAPP-core","0","2","11","k28-5009c","2","47"
"FAPP-core","0","1","0","k28-5009c","1","24"
"FAPP-core","0","1","1","k28-5009c","1","25"
"FAPP-core","0","1","2","k28-5009c","1","26"
"FAPP-core","0","1","3","k28-5009c","1","27"
"FAPP-core","0","1","4","k28-5009c","1","28"
"FAPP-core","0","1","5","k28-5009c","1","29"
"FAPP-core","0","1","6","k28-5009c","1","30"
"FAPP-core","0","1","7","k28-5009c","1","31"
"FAPP-core","0","1","8","k28-5009c","1","32"
"FAPP-core","0","1","9","k28-5009c","1","33"
"FAPP-core","0","1","10","k28-5009c","1","34"
"FAPP-core","0","1","11","k28-5009c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.703905","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.079724","-","-","1"
"FAPP-time-stat","0","3","all","0","4.672422","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.081432","-","-","1"
"FAPP-time-stat","0","2","all","0","4.661606","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.081459","-","-","1"
"FAPP-time-stat","0","1","all","0","4.635033","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.081412","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0049","0x0202","0x0059","0x0302","0x0005","0x002d","0x0001","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2063734432","37601704916","21032221","21020036","25267950","25267964","3191988","18855","1099590","735309"
"FAPP-cpupa","Thread","0","0","0","all","0","1","470395072","5786256009","2514875","2505027","2871039","2871043","3177389","18484","1080972","99248"
"FAPP-cpupa","Thread","0","0","1","all","0","1","141023296","2819180760","1683381","1683176","2039793","2039794","2289","68","3406","63340"
"FAPP-cpupa","Thread","0","0","2","all","0","1","141073984","2806229706","1682986","1682774","2037852","2037852","1232","34","1600","58859"
"FAPP-cpupa","Thread","0","0","3","all","0","1","141074272","2811740115","1684127","1683902","2035356","2035356","1218","29","1532","56581"
"FAPP-cpupa","Thread","0","0","4","all","0","1","158524992","3166017372","1683753","1683539","2039343","2039344","1349","31","1674","55278"
"FAPP-cpupa","Thread","0","0","5","all","0","1","149025632","2980477071","1683466","1683255","2036620","2036620","1148","32","1330","58974"
"FAPP-cpupa","Thread","0","0","6","all","0","1","148890624","2977776249","1684629","1684426","2037207","2037209","1144","24","1304","55875"
"FAPP-cpupa","Thread","0","0","7","all","0","1","141062688","2816967680","1683146","1682934","2034610","2034612","1298","31","1548","58370"
"FAPP-cpupa","Thread","0","0","8","all","0","1","149322560","2983875670","1683191","1682980","2035665","2035666","1249","33","1530","56960"
"FAPP-cpupa","Thread","0","0","9","all","0","1","141023456","2810549215","1683720","1683506","2034559","2034559","1241","31","1620","58418"
"FAPP-cpupa","Thread","0","0","10","all","0","1","141023552","2818086783","1682858","1682653","2035011","2035012","1212","27","1541","57638"
"FAPP-cpupa","Thread","0","0","11","all","0","1","141294304","2824548286","1682089","1681864","2030895","2030897","1219","31","1533","55768"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","95733472","1913938969","20013820","20011454","24195426","24195430","2326","1","3313","687947"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7978784","159509493","1680374","1680279","2024960","2024960","297","1","370","60081"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7978720","159508329","1666640","1666441","2018849","2018849","186","0","265","62507"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7975232","159457749","1666258","1666051","2017286","2017287","179","0","275","58127"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7978752","159509017","1667467","1667248","2014844","2014844","186","0","267","55815"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7975008","159451699","1667054","1666847","2018805","2018804","182","0","275","54587"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7978720","159508880","1666783","1666579","2016060","2016060","187","0","261","58236"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7978752","159508884","1667859","1667661","2016614","2016614","190","0","254","55182"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7978400","159508274","1666434","1666229","2014047","2014047","185","0","270","57614"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7978592","159508112","1666476","1666271","2015031","2015031","186","0","268","56200"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7974912","159450376","1666990","1666782","2014075","2014076","179","0","275","57683"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7978720","159508728","1666143","1665943","2014514","2014514","182","0","264","56927"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7978880","159509428","1665342","1665123","2010341","2010344","187","0","269","54988"
"FAPP-cpupa","Process","0","3","-","all","0","12","2010270432","36533979439","21563670","21549481","25720499","25720510","1454767","16762","1090173","915710"
"FAPP-cpupa","Thread","0","3","0","all","0","1","467246624","5811909454","2546462","2534585","2884465","2884465","1441604","16426","1073151","116242"
"FAPP-cpupa","Thread","0","3","1","all","0","1","136747296","2719809450","1727074","1726866","2070386","2070388","1195","35","1548","75142"
"FAPP-cpupa","Thread","0","3","2","all","0","1","144720288","2890164397","1727556","1727346","2074453","2074453","1228","33","1543","75853"
"FAPP-cpupa","Thread","0","3","3","all","0","1","136747584","2697968678","1730830","1730607","2079088","2079091","1159","29","1562","73934"
"FAPP-cpupa","Thread","0","3","4","all","0","1","136693024","2733821861","1727391","1727182","2073544","2073545","1077","27","1260","75939"
"FAPP-cpupa","Thread","0","3","5","all","0","1","144838688","2894312558","1727013","1726806","2075665","2075668","1276","28","1691","72173"
"FAPP-cpupa","Thread","0","3","6","all","0","1","144692160","2893736031","1730947","1730744","2080533","2080534","1228","29","1513","71588"
"FAPP-cpupa","Thread","0","3","7","all","0","1","136969376","2707917166","1729348","1729140","2075340","2075340","1199","32","1568","73040"
"FAPP-cpupa","Thread","0","3","8","all","0","1","136697728","2713265524","1727094","1726882","2069648","2069649","1236","26","1767","73742"
"FAPP-cpupa","Thread","0","3","9","all","0","1","136741888","2708811755","1730368","1730160","2076476","2076476","1180","34","1553","66965"
"FAPP-cpupa","Thread","0","3","10","all","0","1","151433184","3028562331","1730055","1729848","2075673","2075673","1217","31","1465","71378"
"FAPP-cpupa","Thread","0","3","11","all","0","1","136742592","2733700234","1729532","1729315","2085228","2085228","1168","32","1552","69714"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","97777312","1954834059","20539924","20537605","24657226","24657237","2308","1","3328","863254"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","8149600","162926022","1711573","1711498","2051649","2051649","290","1","366","74193"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","8149568","162926514","1710019","1709818","2049639","2049639","186","0","278","74151"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","8149568","162926530","1710436","1710232","2053616","2053615","183","0","272","74759"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","8146048","162874560","1713692","1713476","2058209","2058213","178","0","275","73001"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","8149632","162927134","1710242","1710041","2052708","2052708","186","0","246","75008"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","8145600","162865509","1709892","1709692","2054777","2054781","178","0","275","71309"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","8149568","162926093","1713676","1713478","2059240","2059239","183","0","269","70611"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","8149600","162927224","1712111","1711909","2054447","2054447","190","0","266","72083"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","8143232","162817062","1709972","1709765","2048720","2048721","179","0","278","72830"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","8149664","162926480","1713193","1712991","2055493","2055493","187","0","265","66043"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","8145664","162864040","1712834","1712631","2054615","2054619","185","0","271","70403"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","8149568","162926891","1712284","1712074","2064113","2064113","183","0","267","68863"
"FAPP-cpupa","Process","0","2","-","all","0","12","2044217760","36611070069","21570069","21555667","25724305","25724320","2627979","17033","1088209","916582"
"FAPP-cpupa","Thread","0","2","0","all","0","1","466164832","5305407086","2549745","2537657","2885167","2885167","2613987","16670","1070457","120256"
"FAPP-cpupa","Thread","0","2","1","all","0","1","140588576","2769613591","1727874","1727665","2071438","2071439","1237","34","1550","74635"
"FAPP-cpupa","Thread","0","2","2","all","0","1","146512256","2909668419","1727477","1727267","2074519","2074519","1260","31","1688","74420"
"FAPP-cpupa","Thread","0","2","3","all","0","1","146842368","2921718075","1730550","1730326","2079876","2079876","1291","31","1671","73482"
"FAPP-cpupa","Thread","0","2","4","all","0","1","146665120","2896256002","1728908","1728697","2075114","2075117","1607","34","2201","75278"
"FAPP-cpupa","Thread","0","2","5","all","0","1","140588864","2811741882","1727245","1727040","2073375","2073376","1169","35","1324","71814"
"FAPP-cpupa","Thread","0","2","6","all","0","1","140639456","2792338522","1730354","1730148","2080089","2080090","1307","31","1674","72290"
"FAPP-cpupa","Thread","0","2","7","all","0","1","140586272","2785771091","1730286","1730077","2076526","2076528","1239","35","1568","72528"
"FAPP-cpupa","Thread","0","2","8","all","0","1","140860288","2791378113","1727326","1727130","2070477","2070480","1228","35","1564","74619"
"FAPP-cpupa","Thread","0","2","9","all","0","1","140589024","2780381358","1732035","1731821","2078621","2078623","1212","33","1547","66753"
"FAPP-cpupa","Thread","0","2","10","all","0","1","153592128","3071805173","1729386","1729178","2075795","2075797","1161","26","1268","71854"
"FAPP-cpupa","Thread","0","2","11","all","0","1","140588576","2774990757","1728883","1728661","2083308","2083308","1281","38","1697","68653"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","97804960","1955415660","20543828","20541482","24664946","24664959","2337","2","3375","861991"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","8152288","162980911","1712431","1712338","2055962","2055962","292","2","368","75658"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","8149728","162941206","1710767","1710564","2050702","2050703","187","0","272","73682"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","8148288","162918653","1710292","1710090","2053523","2053524","178","0","282","73567"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","8148672","162925368","1713330","1713111","2058820","2058824","184","0","284","72615"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","8147840","162905231","1711733","1711527","2053834","2053834","185","0","279","74368"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","8152352","162981651","1710029","1709829","2052385","2052384","187","0","258","70916"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","8148160","162915684","1713203","1713001","2059422","2059426","189","0","278","71467"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","8152288","162979352","1713069","1712862","2055494","2055494","190","0","272","71526"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","8152224","162980928","1710203","1710012","2049620","2049620","190","0","268","73510"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","8152256","162981220","1714794","1714589","2057578","2057578","184","0","271","65871"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","8152256","162981535","1712259","1712057","2054794","2054794","186","0","261","70967"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","8148608","162923921","1711718","1711502","2062812","2062816","185","0","282","67844"
"FAPP-cpupa","Process","0","1","-","all","0","12","2057822336","38369940542","21569700","21556472","25738450","25738456","3495788","17860","1135629","916187"
"FAPP-cpupa","Thread","0","1","0","all","0","1","463507904","6594817980","2548229","2537317","2898888","2898888","3462727","17385","1117048","116496"
"FAPP-cpupa","Thread","0","1","1","all","0","1","142620544","2852376960","1727976","1727774","2072385","2072385","2530","31","1321","75530"
"FAPP-cpupa","Thread","0","1","2","all","0","1","142843904","2830801242","1727517","1727303","2076795","2076796","3069","41","1748","76667"
"FAPP-cpupa","Thread","0","1","3","all","0","1","142614144","2852128575","1730335","1730106","2077660","2077660","2887","36","2101","73712"
"FAPP-cpupa","Thread","0","1","4","all","0","1","148566560","2968880370","1730168","1729964","2075560","2075560","3084","43","1744","75807"
"FAPP-cpupa","Thread","0","1","5","all","0","1","142571328","2836299205","1727441","1727234","2074227","2074228","3041","46","1660","72382"
"FAPP-cpupa","Thread","0","1","6","all","0","1","155805344","3116001146","1730964","1730759","2078668","2078671","3082","43","1619","71346"
"FAPP-cpupa","Thread","0","1","7","all","0","1","142621024","2851278595","1729115","1728908","2075799","2075799","3101","47","1627","73106"
"FAPP-cpupa","Thread","0","1","8","all","0","1","142621440","2842748368","1727916","1727711","2072288","2072288","3041","49","1619","74301"
"FAPP-cpupa","Thread","0","1","9","all","0","1","142614912","2831662593","1732042","1731834","2078730","2078731","3058","46","1747","68053"
"FAPP-cpupa","Thread","0","1","10","all","0","1","148864608","2972996131","1729078","1728868","2074375","2074375","3126","44","1766","70389"
"FAPP-cpupa","Thread","0","1","11","all","0","1","142570624","2819949377","1728919","1728694","2083075","2083075","3042","49","1629","68398"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","97751552","1954366176","20544877","20542536","24664581","24664579","2341","1","3377","863978"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","8147424","162883278","1712218","1712132","2054640","2054639","290","1","369","75782"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","8147200","162884148","1710831","1710634","2051495","2051492","188","0","251","74569"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","8143520","162823293","1710262","1710056","2055827","2055828","179","0","282","75678"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","8147360","162883122","1713151","1712929","2056666","2056666","188","0","275","72544"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","8143872","162829631","1712979","1712776","2054424","2054425","189","0","272","74729"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","8146784","162882557","1710256","1710056","2053298","2053298","185","0","276","71416"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","8146976","162883090","1713839","1713638","2057710","2057710","186","0","270","70129"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","8147040","162883758","1711894","1711691","2054846","2054846","186","0","275","72055"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","8147168","162883241","1710872","1710672","2051591","2051591","187","0","270","73115"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","8143744","162827082","1714888","1714687","2058242","2058241","188","0","274","67066"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","8143328","162819638","1711923","1711719","2053525","2053526","184","0","280","69468"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","8147136","162883338","1711764","1711546","2062317","2062317","191","0","283","67427"
