"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:41 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.763438","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071684","-","-","1"
"FAPP-time-stat","0","1","all","0","4.747052","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071764","-","-","1"
"FAPP-time-stat","0","2","all","0","4.719145","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.072047","-","-","1"
"FAPP-time-stat","0","3","all","0","4.691558","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071735","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x80a5","0x80a6","0x8038","0x0105","0x0113","0x0108","0x0112","0x011a"
"FAPP-cpupa","Process","0","0","-","all","0","12","2025951744","34542856924","0","0","1283","617561724","150906319","35078","820032212","3939"
"FAPP-cpupa","Thread","0","0","0","all","0","1","476348288","3819116656","0","0","1085","71482714","33401311","33945","172447062","3939"
"FAPP-cpupa","Thread","0","0","1","all","0","1","137286752","2720169121","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","145261600","2875566278","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","137287040","2714796367","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","145571616","2875036218","0","0","18","49643546","10682273","103","58871435","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","152546080","3032080315","0","0","18","49643550","10682278","103","58871376","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145191584","2863284408","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","137224704","2720270199","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","137224864","2724435013","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","137280992","2745583455","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","137225024","2702491380","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","137503200","2750027514","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86086624","1720984136","0","0","0","589830424","126917115","1212","699466723","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7174880","143429076","0","0","0","49158413","10576440","101","58294224","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7171232","143376984","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7174592","143429187","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7174880","143429893","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7174848","143430276","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7170880","143368136","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7174816","143430362","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7174880","143428992","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7174880","143430143","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7174912","143429688","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7171040","143371542","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7174784","143429857","0","0","0","49152001","10576425","101","58288409","0"
"FAPP-cpupa","Process","0","1","-","all","0","12","2059701792","36758781708","0","0","1281","617561496","150908219","34365","820034253","3939"
"FAPP-cpupa","Thread","0","1","0","all","0","1","474709664","5206996418","0","0","1083","71482490","33403216","33232","172449172","3939"
"FAPP-cpupa","Thread","0","1","1","all","0","1","140976416","2793510791","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","158954016","3147503216","0","0","18","49643546","10682273","103","58871371","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","148934976","2977556858","0","0","18","49643546","10682273","103","58871371","0"
