"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:48 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.526421","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071952","-","-","1"
"FAPP-time-stat","0","2","all","0","4.504904","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.072289","-","-","1"
"FAPP-time-stat","0","3","all","0","4.468910","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071819","-","-","1"
"FAPP-time-stat","0","0","all","0","4.463020","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.072278","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8008","0x0198","0x0199","0x0139","0x0010","0x0012","-","-"
"FAPP-cpupa","Process","0","1","-","all","0","12","1982997792","33951420997","9142336871","71824843","4","9060098117","5603536","735692372","0","0"
"FAPP-cpupa","Thread","0","1","0","all","0","1","452646400","3512898410","5314361328","70818257","4","5233008238","5556434","724782264","0","0"
"FAPP-cpupa","Thread","0","1","1","all","0","1","136979840","2718634086","347993597","92415","0","347913576","1888","991176","0","0"
"FAPP-cpupa","Thread","0","1","2","all","0","1","144789120","2895747543","347998809","97061","0","347915808","1804","992513","0","0"
"FAPP-cpupa","Thread","0","1","3","all","0","1","144744992","2885290365","348008972","88647","0","347925345","8378","993963","0","0"
"FAPP-cpupa","Thread","0","1","4","all","0","1","136971840","2723858943","347997670","87341","0","347918575","8593","991449","0","0"
"FAPP-cpupa","Thread","0","1","5","all","0","1","136984064","2713966682","347996948","89924","0","347917282","7586","991437","0","0"
"FAPP-cpupa","Thread","0","1","6","all","0","1","136971168","2724376687","347996591","93492","0","347916861","2039","991377","0","0"
"FAPP-cpupa","Thread","0","1","7","all","0","1","136971392","2719208762","347993716","93079","0","347914338","1974","991061","0","0"
"FAPP-cpupa","Thread","0","1","8","all","0","1","136969440","2718845226","347996996","89106","0","347917975","2035","991482","0","0"
"FAPP-cpupa","Thread","0","1","9","all","0","1","137314464","2720364241","347993881","91765","0","347914376","2078","991390","0","0"
"FAPP-cpupa","Thread","0","1","10","all","0","1","144681184","2893531048","348003995","89469","0","347920806","8664","993116","0","0"
"FAPP-cpupa","Thread","0","1","11","all","0","1","136973888","2724699004","347994368","94287","0","347914937","2063","991144","0","0"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","86402112","1727349289","4131830589","659965","0","4131715467","36481","11296218","0","0"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","7201600","143964614","344365436","57531","0","344355482","965","944830","0","0"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","7201472","143966151","344316444","56308","0","344306132","966","941380","0","0"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","7201600","143964767","344315189","59141","0","344305653","941","941077","0","0"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","7199296","143934421","344315578","50449","0","344305858","7300","941181","0","0"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","7198176","143917213","344313066","50912","0","344304230","7418","940618","0","0"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","7197632","143907631","344315388","53692","0","344305636","6486","941084","0","0"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","7201248","143964347","344314891","57083","0","344305379","934","940968","0","0"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","7201664","143965882","344315285","57001","0","344305577","967","941058","0","0"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","7198400","143920729","344313850","52830","0","344304722","935","940796","0","0"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","7201472","143966073","344315735","55650","0","344305963","1030","941267","0","0"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","7197952","143911827","344314723","51290","0","344305427","7560","940967","0","0"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","7201600","143965634","344315004","58078","0","344305408","979","940992","0","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","1983774464","35857247298","16951513912","71704692","4","16869189686","5642128","2690056322","0","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","450494592","5511571843","13123549062","70702582","4","13042107824","5565312","2679147721","0","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","136624128","2693225774","347990681","88735","0","347911567","9653","990680","0","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","146698592","2933843892","348011232","95237","0","347926359","9904","994392","0","0"
