"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:55 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.688511","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071763","-","-","1"
"FAPP-time-stat","0","3","all","0","4.632405","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071559","-","-","1"
"FAPP-time-stat","0","2","all","0","4.618323","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071705","-","-","1"
"FAPP-time-stat","0","1","all","0","4.613049","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071671","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8095","0x8096","0x807c","0x800e","0x0109","0x010a","0x0077","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2083114144","36082161785","2312","0","23272240","492","596050651","9072512","0","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","468855456","4041634156","1938","0","1941040","492","49971931","9072171","0","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","145761312","2913899388","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","145757920","2885272397","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","146149792","2898610263","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","145795840","2879536050","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","155313184","3106226671","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","145757920","2879889578","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","145757728","2884155996","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","137190016","2718240456","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","145756160","2915089571","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","145754880","2874386449","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","155263936","3085220810","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86179008","1722856861","204","0","23040000","0","589824000","6424","0","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7182560","143583818","17","0","1920000","0","49152000","6413","0","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7182624","143585398","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7178720","143526631","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7182336","143584175","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7182560","143585087","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7182144","143584985","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7182528","143584757","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7178848","143530536","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7179072","143534742","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7182592","143586259","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7182560","143584929","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7182464","143585544","17","0","1920000","0","49152000","1","0","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2046155264","37206221454","2363","0","23272240","492","596049847","9071612","0","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","463244672","5593638947","1989","0","1941040","492","49971127","9071271","0","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","143360032","2864283106","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","143400704","2866538046","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","143361600","2865996442","34","0","1939200","0","49643520","31","0","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","143759872","2864811662","34","0","1939200","0","49643520","31","0","0"
