"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:49:02 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.761221","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071782","-","-","1"
"FAPP-time-stat","0","3","all","0","4.739365","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071703","-","-","1"
"FAPP-time-stat","0","0","all","0","4.722945","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071973","-","-","1"
"FAPP-time-stat","0","1","all","0","4.700173","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071746","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0230","0x0231","0x0232","0x0233","0x0234","0x0235","0x0236","-"
"FAPP-cpupa","Process","0","2","-","all","0","12","2099373440","37567866097","2632265","0","0","687972","0","0","11712573","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","476126112","5241254561","1201956","0","0","641708","0","0","1745700","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","146997152","2938739215","129722","0","0","14270","0","0","917233","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","147404192","2947927519","129237","0","0","2460","0","0","899394","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","152658848","3027102187","137782","0","0","986","0","0","893132","0"
"FAPP-cpupa","Thread","0","2","4","all","0","1","147005248","2924882981","128980","0","0","880","0","0","893788","0"
"FAPP-cpupa","Thread","0","2","5","all","0","1","146998912","2937591075","129508","0","0","1482","0","0","903426","0"
"FAPP-cpupa","Thread","0","2","6","all","0","1","146999744","2919425499","128961","0","0","2472","0","0","902759","0"
"FAPP-cpupa","Thread","0","2","7","all","0","1","146995168","2908446908","129284","0","0","2354","0","0","901976","0"
"FAPP-cpupa","Thread","0","2","8","all","0","1","141444416","2824595068","129391","0","0","3270","0","0","907190","0"
"FAPP-cpupa","Thread","0","2","9","all","0","1","152702976","3054023628","129002","0","0","1730","0","0","904106","0"
"FAPP-cpupa","Thread","0","2","10","all","0","1","146996768","2939900993","129576","0","0","12648","0","0","934522","0"
"FAPP-cpupa","Thread","0","2","11","all","0","1","147043904","2903976463","128866","0","0","3712","0","0","909347","0"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","86195200","1723217790","1728961","0","0","46620","0","0","10792397","0"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","7184736","143628943","313027","0","0","1748","0","0","927640","0"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","7181408","143581679","128329","0","0","14076","0","0","907858","0"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","7180832","143569793","127888","0","0","2350","0","0","890031","0"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","7180736","143567018","136451","0","0","870","0","0","884007","0"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","7178464","143520813","127640","0","0","756","0","0","884580","0"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","7184736","143628981","128223","0","0","1366","0","0","894184","0"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","7184608","143629148","127679","0","0","2358","0","0","893573","0"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","7184736","143628078","127975","0","0","2266","0","0","892709","0"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","7181184","143575986","128220","0","0","3118","0","0","897891","0"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","7184672","143629462","127643","0","0","1660","0","0","894837","0"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","7184640","143628479","128327","0","0","12448","0","0","925043","0"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","7184448","143629410","127559","0","0","3604","0","0","900044","0"
"FAPP-cpupa","Process","0","3","-","all","0","12","2077876992","37946039387","2462544","0","0","671002","0","0","11477604","0"
"FAPP-cpupa","Thread","0","3","0","all","0","1","473940576","5983729687","1108248","0","0","616500","0","0","1587837","0"
"FAPP-cpupa","Thread","0","3","1","all","0","1","154584480","3071057522","122080","0","0","15502","0","0","909056","0"
"FAPP-cpupa","Thread","0","3","2","all","0","1","144650112","2891857087","129890","0","0","4506","0","0","899415","0"
"FAPP-cpupa","Thread","0","3","3","all","0","1","144654560","2893057408","129511","0","0","1978","0","0","895999","0"
"FAPP-cpupa","Thread","0","3","4","all","0","1","144653600","2892966701","121616","0","0","1506","0","0","893410","0"
"FAPP-cpupa","Thread","0","3","5","all","0","1","144778720","2893184071","121316","0","0","1420","0","0","888507","0"
