"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:49:09 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.738785","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071715","-","-","1"
"FAPP-time-stat","0","2","all","0","4.709324","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071802","-","-","1"
"FAPP-time-stat","0","3","all","0","4.688309","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071748","-","-","1"
"FAPP-time-stat","0","1","all","0","4.667165","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071722","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x02b2","0x02b1","0x02b0","0x02b8","0x02b9","0x0260","0x0261","-"
"FAPP-cpupa","Process","0","0","-","all","0","12","2113824704","38411209590","417","860","435","60533963450","59654967283","3783373254","3728436019","0"
"FAPP-cpupa","Thread","0","0","0","all","0","1","473882688","5760371125","417","860","435","48583916954","48304588947","3036495356","3019037377","0"
"FAPP-cpupa","Thread","0","0","1","all","0","1","147745216","2954869467","0","0","0","1089051008","1032185568","68065687","64511599","0"
"FAPP-cpupa","Thread","0","0","2","all","0","1","147748000","2923414270","0","0","0","1085402640","1029644608","67837665","64352788","0"
"FAPP-cpupa","Thread","0","0","3","all","0","1","147785472","2953321417","0","0","0","1086107616","1028550880","67881726","64284431","0"
"FAPP-cpupa","Thread","0","0","4","all","0","1","140198816","2777913159","0","0","0","1085499728","1029123904","67843733","64320241","0"
"FAPP-cpupa","Thread","0","0","5","all","0","1","148139904","2925708640","0","0","0","1087885824","1034074608","67992864","64629663","0"
"FAPP-cpupa","Thread","0","0","6","all","0","1","147743552","2953666912","0","0","0","1087857872","1033355936","67991111","64584744","0"
"FAPP-cpupa","Thread","0","0","7","all","0","1","147745760","2950628359","0","0","0","1086390176","1034416448","67899386","64651027","0"
"FAPP-cpupa","Thread","0","0","8","all","0","1","147742080","2945168871","0","0","0","1084283744","1030241200","67767734","64390076","0"
"FAPP-cpupa","Thread","0","0","9","all","0","1","158698336","3173929327","0","0","0","1086889776","1033891760","67930610","64618236","0"
"FAPP-cpupa","Thread","0","0","10","all","0","1","147742624","2934290346","0","0","0","1087169840","1033939952","67948115","64621245","0"
"FAPP-cpupa","Thread","0","0","11","all","0","1","158652256","3157927697","0","0","0","1083508272","1030953472","67719267","64434592","0"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86111424","1721544298","0","0","0","12894416720","12256065904","805901049","766004117","0"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7177888","143486850","0","0","0","1075127168","1021219152","67195451","63826194","0"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7177920","143489978","0","0","0","1077248672","1021748320","67328043","63859271","0"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7171808","143388044","0","0","0","1073484480","1019124336","67092780","63695270","0"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7177408","143489491","0","0","0","1074209344","1018064848","67138084","63629053","0"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7174304","143439770","0","0","0","1073685328","1018656096","67105333","63666006","0"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7174112","143434350","0","0","0","1075847216","1023432880","67240451","63964554","0"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7173760","143426930","0","0","0","1075968864","1022840256","67248053","63927518","0"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7173888","143430578","0","0","0","1074514896","1023884688","67157181","63992793","0"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7177824","143489636","0","0","0","1072414512","1019753728","67025907","63734608","0"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7177504","143489818","0","0","0","1075029952","1023446400","67189372","63965402","0"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7177600","143489845","0","0","0","1075300880","1023442000","67206305","63965125","0"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7177408","143489008","0","0","0","1071585408","1020453200","66974089","63778323","0"
"FAPP-cpupa","Process","0","2","-","all","0","12","2057514656","36879281858","424","831","474","57356720972","56513668009","3584795630","3532104788","0"
"FAPP-cpupa","Thread","0","2","0","all","0","1","470936448","5426734167","424","831","474","45403663820","45136749129","2837729569","2821047358","0"
"FAPP-cpupa","Thread","0","2","1","all","0","1","143396800","2867904020","0","0","0","1085863392","1032012592","67866462","64500787","0"
"FAPP-cpupa","Thread","0","2","2","all","0","1","143397664","2831460416","0","0","0","1089408480","1034998400","68088031","64687402","0"
"FAPP-cpupa","Thread","0","2","3","all","0","1","143399200","2827170647","0","0","0","1089049840","1034599488","68065615","64662465","0"
