"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:49:16 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","3","all","0","4.740541","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071926","-","-","1"
"FAPP-time-stat","0","0","all","0","4.732950","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071738","-","-","1"
"FAPP-time-stat","0","1","all","0","4.708457","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071612","-","-","1"
"FAPP-time-stat","0","2","all","0","4.681325","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071627","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0309","0x0396","0x0370","0x0121","0x0318","0x0319","0x031a","0x031b"
"FAPP-cpupa","Process","0","3","-","all","0","12","2004304832","34648073270","328325996","10652381","3244291","11288703645","162642","105992","95180","48017887"
"FAPP-cpupa","Thread","0","3","0","all","0","1","474058368","4338826461","27603969","896840","283839","7493499315","58510","27666","50567","4565606"
"FAPP-cpupa","Thread","0","3","1","all","0","1","135508576","2710137373","27338115","886908","269443","345006417","8692","6527","3270","3949840"
"FAPP-cpupa","Thread","0","3","2","all","0","1","135551424","2710884748","27338146","886911","269456","345036559","8667","6491","3282","3949840"
"FAPP-cpupa","Thread","0","3","3","all","0","1","143761792","2845932416","27342627","886954","269095","345025680","11017","8799","6127","3951233"
"FAPP-cpupa","Thread","0","3","4","all","0","1","135550880","2692669166","27336944","886823","269209","345011221","8683","6513","3249","3949087"
"FAPP-cpupa","Thread","0","3","5","all","0","1","143389408","2833092751","27337489","886860","269249","345023039","10049","7390","3471","3950391"
"FAPP-cpupa","Thread","0","3","6","all","0","1","135551456","2676476005","27336746","886823","269193","345010008","8589","6212","3230","3948718"
"FAPP-cpupa","Thread","0","3","7","all","0","1","135779072","2691857607","27334855","886725","268659","345017853","8518","6158","3295","3948606"
"FAPP-cpupa","Thread","0","3","8","all","0","1","135557760","2681986332","27334469","886705","268622","345011178","8441","6045","3236","3948451"
"FAPP-cpupa","Thread","0","3","9","all","0","1","135551232","2665517120","27334406","886710","268650","345012786","8434","6033","3216","3948422"
"FAPP-cpupa","Thread","0","3","10","all","0","1","150451264","2969024881","27346541","887171","269787","345027801","12259","9535","6361","3956749"
"FAPP-cpupa","Thread","0","3","11","all","0","1","143593600","2831668410","27341689","886951","269089","345021788","10783","8623","5876","3950944"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","86364416","1726600590","314422869","9409558","3040059","4096930317","4109","3846","246","36933172"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","7198912","143912470","26202110","784142","253368","341454174","345","322","22","3077797"
"FAPP-cpupa","Thread","0","3","1","axhelm_kernel","1","1","7198944","143912744","26202175","784145","253379","341407931","341","321","22","3077790"
"FAPP-cpupa","Thread","0","3","2","axhelm_kernel","1","1","7198976","143913482","26202240","784153","253393","341405928","342","321","22","3077795"
"FAPP-cpupa","Thread","0","3","3","axhelm_kernel","1","1","7195040","143853954","26201636","784112","253294","341407621","341","318","19","3077730"
"FAPP-cpupa","Thread","0","3","4","axhelm_kernel","1","1","7198752","143912900","26202115","784142","253368","341406625","347","328","22","3077797"
"FAPP-cpupa","Thread","0","3","5","axhelm_kernel","1","1","7196512","143873677","26201755","784121","253317","341407977","341","321","19","3077748"
"FAPP-cpupa","Thread","0","3","6","axhelm_kernel","1","1","7199008","143913217","26202227","784151","253384","341406702","341","321","22","3077790"
"FAPP-cpupa","Thread","0","3","7","axhelm_kernel","1","1","7194688","143845997","26201530","784099","253276","341406888","341","318","19","3077725"
"FAPP-cpupa","Thread","0","3","8","axhelm_kernel","1","1","7195392","143859102","26201760","784128","253320","341404431","341","318","19","3077746"
"FAPP-cpupa","Thread","0","3","9","axhelm_kernel","1","1","7195040","143852257","26201742","784127","253318","341407411","341","318","19","3077740"
"FAPP-cpupa","Thread","0","3","10","axhelm_kernel","1","1","7198784","143912232","26202072","784139","253363","341407196","347","322","22","3077794"
"FAPP-cpupa","Thread","0","3","11","axhelm_kernel","1","1","7194368","143838558","26201507","784099","253279","341407433","341","318","19","3077720"
"FAPP-cpupa","Process","0","0","-","all","0","12","2034558560","36317681798","328789132","10207612","3307618","14168863252","48372635","588018","238152","229264"
"FAPP-cpupa","Thread","0","0","0","all","0","1","473299264","5199432693","27704688","862330","297994","10373617344","4646171","126380","44951","43478"
"FAPP-cpupa","Thread","0","0","1","all","0","1","145024896","2900463063","27373917","849565","274118","345017856","3976644","43165","17936","17362"
