"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:49:23 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","1","all","0","4.624121","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071667","-","-","1"
"FAPP-time-stat","0","3","all","0","4.594253","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071872","-","-","1"
"FAPP-time-stat","0","0","all","0","4.579803","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071700","-","-","1"
"FAPP-time-stat","0","2","all","0","4.555401","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071874","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0316","0x0314","0x0315","0x031e","0x031c","0x031d","0x0391","0x03ae"
"FAPP-cpupa","Process","0","1","-","all","0","12","2022006752","35290414631","314871050","3011","0","48374571","17904","0","314509877","70235"
"FAPP-cpupa","Thread","0","1","0","all","0","1","462416384","4226134507","26328665","470","0","4617078","1624","0","26277121","9655"
"FAPP-cpupa","Thread","0","1","1","all","0","1","146338976","2926742556","26233462","231","0","3980195","1480","0","26204097","6006"
"FAPP-cpupa","Thread","0","1","2","all","0","1","138350784","2765876509","26230018","231","0","3975956","1480","0","26202538","5218"
"FAPP-cpupa","Thread","0","1","3","all","0","1","146397664","2925570719","26233344","231","0","3980392","1480","0","26203987","6008"
"FAPP-cpupa","Thread","0","1","4","all","0","1","138353504","2735501191","26229953","231","0","3975867","1480","0","26202482","5196"
"FAPP-cpupa","Thread","0","1","5","all","0","1","138401568","2741958705","26229150","231","0","3975758","1480","0","26201817","5198"
"FAPP-cpupa","Thread","0","1","6","all","0","1","138623328","2772431746","26230817","231","0","3976718","1480","0","26203201","5232"
"FAPP-cpupa","Thread","0","1","7","all","0","1","151576160","2994570715","26234560","231","0","3984464","1480","0","26204880","6091"
"FAPP-cpupa","Thread","0","1","8","all","0","1","138350912","2751840058","26229021","231","0","3975779","1480","0","26201754","5197"
"FAPP-cpupa","Thread","0","1","9","all","0","1","146495200","2929746504","26233081","231","0","3980651","1480","0","26203749","6016"
"FAPP-cpupa","Thread","0","1","10","all","0","1","138351168","2757246962","26228944","231","0","3975749","1480","0","26201695","5200"
"FAPP-cpupa","Thread","0","1","11","all","0","1","138351104","2762794459","26230035","231","0","3975964","1480","0","26202556","5218"
"FAPP-cpupa","Process","0","1","-","axhelm_kernel","1","12","86060672","1720448665","301984050","0","0","36940725","0","0","301981012","1368"
"FAPP-cpupa","Thread","0","1","0","axhelm_kernel","1","1","7173632","143398800","25165449","0","0","3078410","0","0","25165151","114"
"FAPP-cpupa","Thread","0","1","1","axhelm_kernel","1","1","7173632","143398404","25165429","0","0","3078406","0","0","25165144","114"
"FAPP-cpupa","Thread","0","1","2","axhelm_kernel","1","1","7173600","143398569","25165430","0","0","3078397","0","0","25165109","114"
"FAPP-cpupa","Thread","0","1","3","axhelm_kernel","1","1","7173600","143398748","25165444","0","0","3078413","0","0","25165153","114"
"FAPP-cpupa","Thread","0","1","4","axhelm_kernel","1","1","7173664","143397912","25165440","0","0","3078416","0","0","25165154","114"
"FAPP-cpupa","Thread","0","1","5","axhelm_kernel","1","1","7169664","143343424","25165189","0","0","3078371","0","0","25165009","114"
"FAPP-cpupa","Thread","0","1","6","axhelm_kernel","1","1","7173632","143398075","25165436","0","0","3078408","0","0","25165144","114"
"FAPP-cpupa","Thread","0","1","7","axhelm_kernel","1","1","7169152","143333589","25165187","0","0","3078369","0","0","25164996","114"
"FAPP-cpupa","Thread","0","1","8","axhelm_kernel","1","1","7169792","143346178","25165175","0","0","3078362","0","0","25164991","114"
"FAPP-cpupa","Thread","0","1","9","axhelm_kernel","1","1","7170016","143349523","25165206","0","0","3078374","0","0","25165022","114"
"FAPP-cpupa","Thread","0","1","10","axhelm_kernel","1","1","7166816","143286375","25165194","0","0","3078378","0","0","25164982","114"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","7173472","143399068","25165471","0","0","3078421","0","0","25165157","114"
"FAPP-cpupa","Process","0","3","-","all","0","12","2004550048","34840936735","314113363","60","0","48038665","31","0","313954648","36233"
"FAPP-cpupa","Thread","0","3","0","all","0","1","459429536","4086612437","26238081","5","0","4569823","31","0","26216827","5299"
"FAPP-cpupa","Thread","0","3","1","all","0","1","136691968","2733733593","26170044","5","0","3950110","0","0","26157936","2129"
"FAPP-cpupa","Thread","0","3","2","all","0","1","144653568","2877835869","26171376","5","0","3953044","0","0","26158259","3980"
"FAPP-cpupa","Thread","0","3","3","all","0","1","136914240","2706825086","26170015","5","0","3950124","0","0","26157959","2134"
