"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:46 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","2","all","0","4.681528","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.072000","-","-","1"
"FAPP-time-stat","0","1","all","0","4.664850","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071936","-","-","1"
"FAPP-time-stat","0","0","all","0","4.640928","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.072131","-","-","1"
"FAPP-time-stat","0","3","all","0","4.595531","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.072017","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0240","0x0241","0x0330","0x0274","0x01a4","0x01b4","0x01a5","0x01b5"
"FAPP-cpupa","Process","0","2","-","all","0","12","2002713120","34222827279","2452240758","2872158540","1099079836","520408993","1084559663","13847084841","613134625","9814353818"
"FAPP-cpupa","Thread","0","2","0","all","0","1","468157088","3810791271","1577033204","1844543408","99238851","437144936","161473007","1951052793","134756024","2156270938"
"FAPP-cpupa","Thread","0","2","1","all","0","1","143802304","2845034319","79365689","93194692","90821839","7565189","83707153","1077792720","43392875","694351360"
"FAPP-cpupa","Thread","0","2","2","all","0","1","135965760","2683989742","79370526","93228666","90756876","7573586","83746336","1078390576","43364978","693903376"
"FAPP-cpupa","Thread","0","2","3","all","0","1","135915168","2676457443","79418239","93180878","90685070","7539198","83699684","1077669760","43392231","694329952"
"FAPP-cpupa","Thread","0","2","4","all","0","1","144140576","2882776601","79856483","93756239","91353379","7559273","84305503","1088198112","43692636","700039184"
"FAPP-cpupa","Thread","0","2","5","all","0","1","135914176","2688404885","79654909","93420708","90687242","7553322","83957472","1082230224","43541262","697123200"
"FAPP-cpupa","Thread","0","2","6","all","0","1","136186432","2682893409","79406046","93271921","90764665","7568230","83726417","1078076608","43399365","694468016"
"FAPP-cpupa","Thread","0","2","7","all","0","1","135915200","2699250240","79846788","93801636","90679269","7609434","84284977","1087921728","43643058","699179648"
"FAPP-cpupa","Thread","0","2","8","all","0","1","143964416","2854793484","79629314","93508257","91255520","7593696","83978420","1082568160","43526414","696889872"
"FAPP-cpupa","Thread","0","2","9","all","0","1","150922080","3018403829","79637991","93477724","91476113","7566766","83977499","1082553552","43525923","696892112"
"FAPP-cpupa","Thread","0","2","10","all","0","1","135915584","2681909562","79392636","93267716","90686791","7579587","83717435","1077944352","43373273","694020592"
"FAPP-cpupa","Thread","0","2","11","all","0","1","135914336","2698122494","79628933","93506695","90674221","7555776","83985760","1082686256","43526586","696885568"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","86459968","1728473527","943056192","1108864207","1016143884","89300295","996850779","12845848880","516685908","8271127792"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","7206880","144067048","78478778","92325488","84681616","7740761","82895370","1067396656","43036811","688735552"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","7202784","144005561","78393888","92184850","84674306","7407627","82878199","1067122736","42963443","687480096"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","7206688","144067770","78409419","92224325","84681673","7420152","82917365","1067720432","42935491","687031328"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","7206880","144067738","78458129","92178124","84681687","7386718","82870610","1066998208","42962714","687457360"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","7206880","144067014","78886284","92749937","84681620","7402318","83472751","1077464496","43261604","693137584"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","7206880","144066552","78694451","92416326","84681528","7400864","83128521","1071560752","43111466","690245904"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","7203104","144014506","78441911","92263602","84675343","7414759","82894266","1067352256","42968039","687561952"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","7203008","144012066","78883384","92795251","84675084","7456559","83455771","1077247920","43213650","692308736"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","7202912","144008996","78657637","92497792","84674739","7436467","83148978","1071891008","43096862","690016512"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","7206720","144067416","78662288","92471584","84681760","7405385","83147541","1071868752","43096579","690021792"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","7206656","144066192","78429914","92261977","84681438","7426267","82888065","1067268240","42943715","687146976"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","7200576","143962668","78660109","92494951","84673090","7402418","83153342","1071957424","43095534","689984000"
