"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:47:53 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.716764","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071725","-","-","1"
"FAPP-time-stat","0","2","all","0","4.695206","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.071933","-","-","1"
"FAPP-time-stat","0","1","all","0","4.673015","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071683","-","-","1"
"FAPP-time-stat","0","3","all","0","4.645255","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071543","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x0325","0x0003","0x0049","0x0017","0x0300","0x80ad","0x80ae","0x0326"
"FAPP-cpupa","Process","0","0","-","all","0","12","2033903616","35097775353","862734","28432927","26008546","27575090","3313103","373","250","292794"
"FAPP-cpupa","Thread","0","0","0","all","0","1","471680768","3936804359","171699","4604117","2938497","3348567","582446","373","250","60151"
"FAPP-cpupa","Thread","0","0","1","all","0","1","146190112","2922603945","65454","2166113","2097113","2204056","250803","0","0","19935"
"FAPP-cpupa","Thread","0","0","2","all","0","1","138019264","2749216617","64671","2166684","2097812","2202848","249879","0","0","19665"
"FAPP-cpupa","Thread","0","0","3","all","0","1","137970496","2755001543","61035","2166681","2097777","2202058","246034","0","0","22627"
"FAPP-cpupa","Thread","0","0","4","all","0","1","146014688","2920146275","65425","2166527","2097110","2205163","250741","0","0","21231"
"FAPP-cpupa","Thread","0","0","5","all","0","1","138241280","2742715267","65093","2166534","2097720","2203631","251190","0","0","19837"
"FAPP-cpupa","Thread","0","0","6","all","0","1","137968544","2759334955","64629","2165924","2097036","2204023","250288","0","0","20898"
"FAPP-cpupa","Thread","0","0","7","all","0","1","137969696","2759228195","59454","2166190","2097067","2198435","244920","0","0","20708"
"FAPP-cpupa","Thread","0","0","8","all","0","1","158014688","3144988489","59457","2166072","2097097","2199207","244905","0","0","21495"
"FAPP-cpupa","Thread","0","0","9","all","0","1","138013888","2743672204","60312","2166002","2097117","2201349","245839","0","0","22632"
"FAPP-cpupa","Thread","0","0","10","all","0","1","145851968","2914555398","60411","2166026","2097091","2202147","246013","0","0","23524"
"FAPP-cpupa","Thread","0","0","11","all","0","1","137968224","2749508106","65094","2166057","2097109","2203606","250045","0","0","20091"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86124320","1721798643","748963","25722867","24941027","26164242","2950805","0","0","249449"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7178816","143509465","68473","2143861","2100032","2188600","254767","0","0","21166"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7178720","143509655","64514","2143456","2076299","2181293","247695","0","0","19535"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7176352","143472869","63738","2143975","2076987","2180168","246797","0","0","19330"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7174496","143443850","60181","2143951","2076952","2179453","243020","0","0","22258"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7178848","143511624","64351","2143480","2076285","2182072","247387","0","0","20816"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7175328","143459070","64198","2143900","2076897","2180844","248097","0","0","19426"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7178976","143511262","63695","2143439","2076229","2181086","247134","0","0","20442"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7175264","143456706","58412","2143348","2076255","2175561","241654","0","0","20341"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7174816","143448952","58467","2143388","2076268","2176397","241699","0","0","21153"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7178880","143511248","59255","2143349","2076281","2178452","242640","0","0","22200"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7178816","143511136","59526","2143360","2076264","2179444","242972","0","0","23099"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7175008","143452806","64153","2143360","2076278","2180872","246943","0","0","19683"
"FAPP-cpupa","Process","0","2","-","all","0","12","2003496032","34237030270","868691","28001451","25947638","27562700","3336542","373","250","294298"
"FAPP-cpupa","Thread","0","2","0","all","0","1","469524768","3681269641","163239","4198194","2879743","3318201","590054","373","250","56646"
"FAPP-cpupa","Thread","0","2","1","all","0","1","135663936","2708160476","66944","2164179","2097091","2208034","252620","0","0","22058"
"FAPP-cpupa","Thread","0","2","2","all","0","1","135663488","2696728028","65195","2164384","2097086","2204434","251211","0","0","20855"
