"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:00 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-core","0","0","0","e31-2201c","0","12"
"FAPP-core","0","0","1","e31-2201c","0","13"
"FAPP-core","0","0","2","e31-2201c","0","14"
"FAPP-core","0","0","3","e31-2201c","0","15"
"FAPP-core","0","0","4","e31-2201c","0","16"
"FAPP-core","0","0","5","e31-2201c","0","17"
"FAPP-core","0","0","6","e31-2201c","0","18"
"FAPP-core","0","0","7","e31-2201c","0","19"
"FAPP-core","0","0","8","e31-2201c","0","20"
"FAPP-core","0","0","9","e31-2201c","0","21"
"FAPP-core","0","0","10","e31-2201c","0","22"
"FAPP-core","0","0","11","e31-2201c","0","23"
"FAPP-core","0","3","0","e31-2201c","3","48"
"FAPP-core","0","3","1","e31-2201c","3","49"
"FAPP-core","0","3","2","e31-2201c","3","50"
"FAPP-core","0","3","3","e31-2201c","3","51"
"FAPP-core","0","3","4","e31-2201c","3","52"
"FAPP-core","0","3","5","e31-2201c","3","53"
"FAPP-core","0","3","6","e31-2201c","3","54"
"FAPP-core","0","3","7","e31-2201c","3","55"
"FAPP-core","0","3","8","e31-2201c","3","56"
"FAPP-core","0","3","9","e31-2201c","3","57"
"FAPP-core","0","3","10","e31-2201c","3","58"
"FAPP-core","0","3","11","e31-2201c","3","59"
"FAPP-core","0","2","0","e31-2201c","2","36"
"FAPP-core","0","2","1","e31-2201c","2","37"
"FAPP-core","0","2","2","e31-2201c","2","38"
"FAPP-core","0","2","3","e31-2201c","2","39"
"FAPP-core","0","2","4","e31-2201c","2","40"
"FAPP-core","0","2","5","e31-2201c","2","41"
"FAPP-core","0","2","6","e31-2201c","2","42"
"FAPP-core","0","2","7","e31-2201c","2","43"
"FAPP-core","0","2","8","e31-2201c","2","44"
"FAPP-core","0","2","9","e31-2201c","2","45"
"FAPP-core","0","2","10","e31-2201c","2","46"
"FAPP-core","0","2","11","e31-2201c","2","47"
"FAPP-core","0","1","0","e31-2201c","1","24"
"FAPP-core","0","1","1","e31-2201c","1","25"
"FAPP-core","0","1","2","e31-2201c","1","26"
"FAPP-core","0","1","3","e31-2201c","1","27"
"FAPP-core","0","1","4","e31-2201c","1","28"
"FAPP-core","0","1","5","e31-2201c","1","29"
"FAPP-core","0","1","6","e31-2201c","1","30"
"FAPP-core","0","1","7","e31-2201c","1","31"
"FAPP-core","0","1","8","e31-2201c","1","32"
"FAPP-core","0","1","9","e31-2201c","1","33"
"FAPP-core","0","1","10","e31-2201c","1","34"
"FAPP-core","0","1","11","e31-2201c","1","35"
"LABEL-FAPP-time-stat","Spawn","Process","Name","Number","Elapsed","User","System","Call"
"FAPP-time-stat","0","0","all","0","4.671699","-","-","1"
"FAPP-time-stat","0","0","axhelm_kernel","1","0.071659","-","-","1"
"FAPP-time-stat","0","3","all","0","4.639140","-","-","1"
"FAPP-time-stat","0","3","axhelm_kernel","1","0.071697","-","-","1"
"FAPP-time-stat","0","2","all","0","4.618419","-","-","1"
"FAPP-time-stat","0","2","axhelm_kernel","1","0.072023","-","-","1"
"FAPP-time-stat","0","1","all","0","4.594261","-","-","1"
"FAPP-time-stat","0","1","axhelm_kernel","1","0.071637","-","-","1"
"LABEL-FAPP-cpupa","Level","Spawn","Process","Thread","Region_name","Region_number","Call","CNTVCT","PMCCNTR","0x8010","0x8028","0x8034","0x0070","0x0071","0x8085","0x8086","0x8087"
"FAPP-cpupa","Process","0","0","-","all","0","12","2002270272","35604177005","854177546","595739502","1763","5785551633","515231622","1319669057","213246301","169161497"
"FAPP-cpupa","Thread","0","0","0","all","0","1","467174240","5219007927","182955566","49660782","1763","4676308297","337945671","214155362","38840322","14152149"
"FAPP-cpupa","Thread","0","0","1","all","0","1","143975808","2849503422","61020180","49643520","0","100841036","16117465","100501245","15855089","14091757"
"FAPP-cpupa","Thread","0","0","2","all","0","1","135958784","2678241338","61020180","49643520","0","100838626","16115865","100501245","15855089","14091759"
"FAPP-cpupa","Thread","0","0","3","all","0","1","144003776","2849958202","61020180","49643520","0","100841309","16117659","100501245","15855089","14091759"
"FAPP-cpupa","Thread","0","0","4","all","0","1","136008448","2687328239","61020180","49643520","0","100846812","16120210","100501245","15855089","14091764"
"FAPP-cpupa","Thread","0","0","5","all","0","1","136007968","2676502776","61020180","49643520","0","100839434","16116286","100501245","15855089","14091759"
"FAPP-cpupa","Thread","0","0","6","all","0","1","144114304","2846893636","61020180","49643520","0","100840238","16117064","100501245","15855089","14091758"
"FAPP-cpupa","Thread","0","0","7","all","0","1","136225376","2697236460","61020180","49643520","0","100839242","16116154","100501245","15855089","14091757"
"FAPP-cpupa","Thread","0","0","8","all","0","1","136007456","2720047779","61020180","49643520","0","100838602","16115879","100501245","15855089","14091759"
"FAPP-cpupa","Thread","0","0","9","all","0","1","150838592","3016674234","61020180","49643520","0","100840286","16117451","100501245","15855089","14091758"
"FAPP-cpupa","Thread","0","0","10","all","0","1","135952800","2678221581","61020180","49643520","0","100838563","16115799","100501245","15855089","14091759"
"FAPP-cpupa","Thread","0","0","11","all","0","1","136002720","2684561411","61020180","49643520","0","100839188","16116119","100501245","15855089","14091759"
"FAPP-cpupa","Process","0","0","-","axhelm_kernel","1","12","86048096","1720248216","724992000","589824000","0","1197785368","191243325","1194078511","188376315","167426484"
"FAPP-cpupa","Thread","0","0","0","axhelm_kernel","1","1","7172384","143376854","60416000","49152000","0","99827236","15952313","99511873","15698040","13952207"
"FAPP-cpupa","Thread","0","0","1","axhelm_kernel","1","1","7168832","143328606","60416000","49152000","0","99814374","15935545","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","2","axhelm_kernel","1","1","7172160","143377385","60416000","49152000","0","99814436","15935576","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","3","axhelm_kernel","1","1","7168608","143324752","60416000","49152000","0","99814446","15935581","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","4","axhelm_kernel","1","1","7172160","143377008","60416000","49152000","0","99814398","15935557","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","5","axhelm_kernel","1","1","7168448","143322114","60416000","49152000","0","99814378","15935547","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","6","axhelm_kernel","1","1","7172288","143376635","60416000","49152000","0","99814294","15935505","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","7","axhelm_kernel","1","1","7172480","143376935","60416000","49152000","0","99814416","15935570","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","8","axhelm_kernel","1","1","7167936","143310398","60416000","49152000","0","99814238","15935477","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","9","axhelm_kernel","1","1","7168480","143322097","60416000","49152000","0","99814310","15935513","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","10","axhelm_kernel","1","1","7172000","143377138","60416000","49152000","0","99814456","15935590","99506058","15698025","13952207"
"FAPP-cpupa","Thread","0","0","11","axhelm_kernel","1","1","7172320","143378294","60416000","49152000","0","99814386","15935551","99506058","15698025","13952207"
"FAPP-cpupa","Process","0","3","-","all","0","12","2010231296","36394477549","854177539","595739502","1763","6178595451","521478805","1319669893","213246619","169160941"
"FAPP-cpupa","Thread","0","3","0","all","0","1","463918080","5518049892","182955559","49660782","1763","5069346729","344189350","214156198","38840640","14151594"
"FAPP-cpupa","Thread","0","3","1","all","0","1","137665120","2753267335","61020180","49643520","0","100838191","16115702","100501245","15855089","14091758"
"FAPP-cpupa","Thread","0","3","2","all","0","1","137664800","2737963638","61020180","49643520","0","100847379","16120304","100501245","15855089","14091762"
"FAPP-cpupa","Thread","0","3","3","all","0","1","137606080","2747858876","61020180","49643520","0","100839832","16116626","100501245","15855089","14091760"
"FAPP-cpupa","Thread","0","3","4","all","0","1","145515584","2900533517","61020180","49643520","0","100841138","16117739","100501245","15855089","14091761"
"FAPP-cpupa","Thread","0","3","5","all","0","1","145896096","2917777896","61020180","49643520","0","100841145","16117736","100501245","15855089","14091759"
"FAPP-cpupa","Thread","0","3","6","all","0","1","137884672","2747984558","61020180","49643520","0","100839711","16116499","100501245","15855089","14091759"
"FAPP-cpupa","Thread","0","3","7","all","0","1","145616512","2909842708","61020180","49643520","0","100840897","16117589","100501245","15855089","14091758"
"FAPP-cpupa","Thread","0","3","8","all","0","1","137613280","2752158874","61020180","49643520","0","100839563","16116447","100501245","15855089","14091757"
"FAPP-cpupa","Thread","0","3","9","all","0","1","137665088","2750885440","61020180","49643520","0","100839548","16116417","100501245","15855089","14091758"
"FAPP-cpupa","Thread","0","3","10","all","0","1","145581024","2907286703","61020180","49643520","0","100840824","16117480","100501245","15855089","14091758"
"FAPP-cpupa","Thread","0","3","11","all","0","1","137604960","2750868112","61020180","49643520","0","100840494","16116916","100501245","15855089","14091757"
"FAPP-cpupa","Process","0","3","-","axhelm_kernel","1","12","86102048","1721258436","724992000","589824000","0","1197785560","191243421","1194078511","188376315","167426484"
"FAPP-cpupa","Thread","0","3","0","axhelm_kernel","1","1","7176384","143455376","60416000","49152000","0","99827238","15952313","99511873","15698040","13952207"
